s,x,y,kappa,altitude(m)
1097.849454,209.9721403,287.2415412,-0.004784351,11.999
1098.849317,210.7028971,286.5603312,-0.004668734,12
1099.84918,211.4017372,285.8486942,-0.004495067,12
1100.849042,212.0635541,285.1017159,-0.004265926,12
1101.848905,212.6990126,284.3295454,-0.00398577,12
1102.848768,213.3208487,283.5443102,-0.003659933,12
1103.848631,213.9417984,282.7581375,-0.003293519,12
1104.848494,214.5717975,281.9805051,-0.002890993,12
1105.848357,215.2096428,281.2103502,-0.002456183,12
1106.84822,215.8513616,280.4439895,-0.001992641,12
1107.848083,216.4929816,279.6777398,-0.001504205,12
1108.847946,217.1306164,278.9079961,-0.000995264,12
1109.847808,217.7635337,278.1340054,-0.000470871,12
1110.847671,218.3949795,277.3586132,6.33E-05,12
1111.847534,219.0284544,276.5848952,0.000601149,12
1112.847397,219.667459,275.815927,0.001136495,12
1113.84726,220.3144108,275.0538258,0.001663444,12.005
1114.847123,220.9667785,274.2963283,0.002176485,12.028
1115.846986,221.6206179,273.5399206,0.002670334,12.052
1116.846849,222.2719846,272.7810889,0.003139529,12.075
1117.846712,222.9171615,272.0165275,0.003577448,12.098
1118.846574,223.558001,271.2480357,0.003975398,12.121
1119.846437,224.202122,270.4826981,0.004322671,12.144
1120.8463,224.85741,269.7278438,0.004607459,12.168
1121.846163,225.5317419,268.9907939,0.004818921,12.192
1122.846026,226.2293774,268.2755365,0.004950255,12.217
1123.845889,226.9453467,267.5775551,0.005000752,12.243
1124.845752,227.6732292,266.8909967,0.004976355,12.269
1125.845615,228.4066043,266.210008,0.00488867,12.295
1126.845478,229.1399218,265.5295207,0.004752167,12.321
1127.84534,229.8724592,264.8488209,0.004580808,12.348
1128.845203,230.6051586,264.1686959,0.004385416,12.374
1129.845066,231.3389639,263.4899344,0.004172479,12.4
1130.844929,232.0748036,262.8133113,0.003944474,12.426
1131.844792,232.8129596,262.1390208,0.003701813,12.453
1132.844655,233.5528452,261.466476,0.003445284,12.479
1133.844518,234.2938127,260.7950351,0.003177331,12.506
1134.844381,235.0352141,260.1240565,0.002902421,12.532
1135.844244,235.7764686,259.452964,0.002626136,12.559
1136.844106,236.5174664,258.7816424,0.002353651,12.586
1137.843969,237.2582997,258.1101743,0.002088897,12.612
1138.843832,237.9990614,257.4386427,0.001834179,12.639
1139.843695,238.7398442,256.7671309,0.00159072,12.665
1140.843558,239.480705,256.0956893,0.001360018,12.688
1141.843421,240.2216236,255.4242991,0.001144962,12.699
1142.843284,240.9625702,254.7529326,0.000950351,12.709
1143.843147,241.7035149,254.0815621,0.000782662,12.717
1144.84301,242.4444301,253.4101617,0.000648653,12.725
1145.842872,243.1853186,252.7387363,0.000553789,12.731
1146.842735,243.9262067,252.067313,0.000501308,12.736
1147.842598,244.6671211,251.3959197,0.000491999,12.74
1148.842461,245.4080883,250.7245842,0.000524637,12.743
1149.842324,246.1491176,250.0533155,0.000597013,12.744
1150.842187,246.890149,249.3820483,0.000706881,12.745
1151.84205,247.6311059,248.7106989,0.000852172,12.744
1152.841913,248.3719112,248.0391839,0.001030856,12.737
1153.841776,249.1124922,247.3674238,0.00124039,12.723
1154.841639,249.8529255,246.6955028,0.001476898,12.711
1155.841501,250.5934824,246.023717,0.001735103,12.699
1156.841364,251.3344467,245.3523764,0.002008823,12.689
1157.841227,252.0761025,244.6817913,0.002291807,12.679
1158.84109,252.8187362,244.0122769,0.002578539,12.671
1159.840953,253.5626509,243.3441832,0.002864568,12.665
1160.840816,254.3081567,242.6778756,0.003146362,12.659
1161.840679,255.055564,242.0137192,0.003420841,12.655
1162.840542,255.8051782,241.3520738,0.003685,12.651
1163.840405,256.5567974,240.6927133,0.003935763,12.65
1164.840267,257.3092632,240.0343081,0.004170022,12.649
1165.84013,258.0613119,239.3754062,0.004384815,12.649
1166.839993,258.8116793,238.7145559,0.00457763,12.651
1167.839856,259.5593496,238.0505913,0.004746664,12.653
1168.839719,260.3060176,237.385474,0.004891,12.657
1169.839582,261.0550494,236.7230928,0.005010785,12.662
1170.839445,261.8098353,236.067365,0.005107251,12.668
1171.839308,262.5737554,235.4221979,0.005182475,12.676
1172.839171,263.3490456,234.7904198,0.005239017,12.686
1173.839033,264.1357915,234.1728311,0.005279443,12.697
1174.838896,264.9338416,233.5700083,0.00530575,12.709
1175.838759,265.7430439,232.9825274,0.005318986,12.724
1176.838622,266.5626363,232.4099216,0.005319159,12.739
1177.838485,267.3898929,231.848367,0.005305379,12.757
1178.838348,268.2216933,231.2933657,0.005276231,12.775
1179.838211,269.0549172,230.7404195,0.005230343,12.795
1180.838074,269.8866666,230.185352,0.005166823,12.815
1181.837937,270.7164711,229.6274944,0.005085442,12.837
1182.837799,271.5453526,229.0683345,0.00498663,12.86
