s,x,y,kappa,altitude (m)
2432.661349,708.3962629,-150.0399404,0.000130752,13.701
2433.661209,707.4405537,-149.746101,0.000160993,13.657
2434.66107,706.4848025,-149.4523983,0.000191945,13.612
2435.660931,705.5290005,-149.1588606,0.000223365,13.567
2436.660792,704.5731393,-148.8655163,0.000255081,13.521
2437.660653,703.6172099,-148.5723937,0.000286997,13.474
2438.660514,702.6612038,-148.2795214,0.000319064,13.426
2439.660374,701.7051105,-147.9869339,0.000351266,13.378
2440.660235,700.7489185,-147.6946692,0.000383599,13.33
2441.660096,699.7926162,-147.4027656,0.000416059,13.281
2442.659957,698.836192,-147.1112613,0.000448621,13.231
2443.659818,697.879635,-146.820193,0.000481248,13.18
2444.659678,696.9229357,-146.5295926,0.000513887,13.129
2445.659539,695.9660852,-146.2394906,0.000546488,13.077
2446.6594,695.0090744,-145.9499177,0.000579032,13.025
2447.659261,694.0518944,-145.6609045,0.000611551,12.977
2448.659122,693.094536,-145.3724823,0.000644121,12.944
2449.658982,692.1369901,-145.0846834,0.000676831,12.911
2450.658843,691.1792473,-144.7975401,0.000709723,12.878
2451.658704,690.2212985,-144.5110849,0.000742724,12.846
2452.658565,689.2631345,-144.2253501,0.000775602,12.815
2453.658426,688.3047462,-143.9403679,0.000807969,12.785
2454.658286,687.346125,-143.6561703,0.000839325,12.755
2455.658147,686.3872621,-143.3727895,0.000869128,12.725
2456.658008,685.4281487,-143.0902577,0.000896887,12.697
2457.657869,684.4687766,-142.8086053,0.000922236,12.669
2458.65773,683.5091389,-142.5278588,0.000944972,12.641
2459.657591,682.5492292,-142.2480438,0.000965062,12.614
2460.657451,681.5890407,-141.9691861,0.000982633,12.588
2461.657312,680.6285668,-141.6913118,0.000997918,12.562
2462.657173,679.6677986,-141.4144557,0.001011232,12.537
2463.657034,678.7067257,-141.1386601,0.001022935,12.513
2464.656895,677.7453372,-140.863968,0.001033409,12.489
2465.656755,676.7836225,-140.5904222,0.001043023,12.465
2466.656616,675.8215729,-140.3180577,0.001052127,12.443
2467.656477,674.8591912,-140.0468686,0.001061036,12.42
2468.656338,673.8964838,-139.7768354,0.00107003,12.399
2469.656199,672.9334572,-139.5079387,0.001079358,12.378
2470.656059,671.9701176,-139.2401599,0.001089246,12.357
2471.65592,671.0064532,-138.9735487,0.001099933,12.337
2472.655781,670.0424211,-138.7082733,0.001111707,12.318
2473.655642,669.0779752,-138.4445139,0.001124962,12.299
2474.655503,668.1130694,-138.1824505,0.001140258,12.281
2475.655363,667.1476668,-137.9222289,0.001158341,12.263
2476.655224,666.1818333,-137.6636079,0.001180095,12.267
2477.655085,665.2156997,-137.4061024,0.001206451,12.285
2478.654946,664.2493975,-137.1492236,0.001238248,12.303
2479.654807,663.2830587,-136.8924823,0.001276066,12.322
2480.654668,662.3167746,-136.6355402,0.001320172,12.341
2481.654528,661.3504963,-136.3785807,0.001370557,12.362
2482.654389,660.3841444,-136.1219006,0.001427051,12.382
2483.65425,659.4176397,-135.8657967,0.001489546,12.403
2484.654111,658.4509033,-135.6105646,0.001558178,12.425
2485.653972,657.4838701,-135.3564533,0.001633365,12.448
2486.653832,656.5164932,-135.103653,0.001715744,12.47
2487.653693,655.5487265,-134.8523502,0.001805991,12.494
2488.653554,654.580524,-134.6027313,0.001904577,12.518
2489.653415,653.6118442,-134.3549659,0.002011562,12.542
2490.653276,652.6426815,-134.1090924,0.002126531,12.567
2491.653136,651.6730464,-133.8650886,0.002248599,12.592
2492.652997,650.7029498,-133.622932,0.002376494,12.617
2493.652858,649.7324023,-133.3826002,0.002508708,12.644
2494.652719,648.7614045,-133.1441073,0.002643693,12.67
2495.65258,647.7899318,-132.9075549,0.002780061,12.697
2496.65244,646.8179562,-132.6730572,0.002916783,12.725
2497.652301,645.8454496,-132.4407288,0.003053345,12.753
2498.652162,644.8723807,-132.2107025,0.003189853,12.781
2499.652023,643.8986605,-131.9834215,0.003327103,12.809
2500.651884,642.9241535,-131.7595835,0.003466602,12.838
2501.651745,641.9487224,-131.5398939,0.003610598,12.868
2502.651605,640.9722301,-131.3250579,0.003762169,12.897
2503.651466,639.9945887,-131.1155455,0.003924979,12.927
2504.651327,639.0159023,-130.9109064,0.004102738,12.956
2505.651188,638.0363223,-130.7104656,0.0042985,12.958
2506.651049,637.0559998,-130.5135482,0.004513739,12.953
2507.650909,636.0750812,-130.319505,0.004747302,12.948
2508.65077,635.0935624,-130.1285128,0.004995098,12.942
2509.650631,634.1112595,-129.9417325,0.005250528,12.935
2510.650492,633.1279785,-129.7603821,0.005505518,12.927
2511.650353,632.1435249,-129.5856799,0.005752146,12.919
2512.650213,631.157742,-129.4186364,0.005984495,12.91
2513.650074,630.1707255,-129.258855,0.00619969,12.9
2514.649935,629.1826762,-129.1053556,0.006398217,12.889
2515.649796,628.193795,-128.9571563,0.006583573,12.878
2516.649657,627.2042829,-128.8132756,0.006761257,12.866
2517.649517,626.2142884,-128.6729838,0.006937451,12.854
2518.649378,625.223827,-128.5361901,0.007118115,12.841
2519.649239,624.2328935,-128.4029034,0.007308334,12.827
2520.6491,623.2414827,-128.2731328,0.007511959,12.814
2521.648961,622.2495868,-128.146914,0.007731664,12.799
2522.648821,621.2571008,-128.0253121,0.007969066,12.784
2523.648682,620.2637941,-127.910727,0.008224514,12.769
2524.648543,619.2694275,-127.8056474,0.008496805,12.753
2525.648404,618.2737618,-127.7125619,0.008782779,12.736
2526.648265,617.2765976,-127.6339151,0.009076654,12.718
2527.648126,616.2781328,-127.5717112,0.009370033,12.7
2528.647986,615.2787936,-127.5277012,0.009652702,12.68
2529.647847,614.2790089,-127.503633,0.009914085,12.66
2530.647708,613.2792079,-127.501254,0.010145401,12.639
2531.647569,612.2796986,-127.5202243,0.010342169,12.617
2532.64743,611.2804048,-127.5535537,0.010505329,12.595
2533.64729,610.2811738,-127.5929295,0.010640883,12.563
2534.647151,609.2818528,-127.6300391,0.010758229,12.526
2535.647012,608.2822892,-127.656582,0.010867033,12.489
2536.646873,607.2824229,-127.6686948,0.010973809,12.453
2537.646734,606.2824243,-127.6735858,0.011080311,12.417
2538.646594,605.2824989,-127.6801614,0.011183562,12.381
2539.646455,604.2828525,-127.6973281,0.011277418,12.345
2540.646316,603.2836928,-127.7339561,0.01135582,12.308
2541.646177,602.2854187,-127.7957823,0.011415868,12.27
2542.646038,601.2887651,-127.8830315,0.011458963,12.231
2543.645898,600.294501,-127.9953688,0.01149057,12.192
2544.645759,599.3033953,-128.132459,0.011518519,12.152
2545.64562,598.316182,-128.2938838,0.011549958,12.112
2546.645481,597.3330963,-128.4780409,0.011589086,12.07
2547.645342,596.3540035,-128.6824487,0.011636372,12.029
2548.645203,595.3787598,-128.9046048,0.011688853,11.987
2549.645063,594.4072218,-129.1420068,0.011741638,11.944
2550.644924,593.4390905,-129.3917789,0.011790164,11.901
2551.644785,592.472876,-129.6481778,0.011831521,11.858
2552.644646,591.5065355,-129.904131,0.011864807,11.816
2553.644507,590.5380238,-130.1525586,0.011890632,11.773
2554.644367,589.5652952,-130.3863807,0.011910179,11.73
2555.644228,588.5872166,-130.6015657,0.011924131,11.688
2556.644089,587.6071434,-130.8090826,0.011932338,11.647
2557.64395,586.62981,-131.0245066,0.011934086,11.605
2558.643811,585.6599508,-131.2634142,0.011928867,11.562
2559.643671,584.7022865,-131.5413377,0.011916851,11.519
2560.643532,583.7587933,-131.8650782,0.011899275,11.475
2561.643393,582.8254262,-132.2222793,0.011878489,11.434
2562.643254,581.8973407,-132.5980414,0.011857634,11.408
2563.643115,580.9696926,-132.977465,0.011840412,11.382
2564.642975,580.0378696,-133.3462795,0.011831331,11.358
2565.642836,579.1021625,-133.7034882,0.011835429,11.334
2566.642697,578.1675316,-134.0607375,0.011857602,11.312
2567.642558,577.2391229,-134.430176,0.01190172,11.29
2568.642419,576.3220822,-134.8239527,0.011969184,11.268
2569.64228,575.4205284,-135.2518867,0.012057387,11.247
2570.64214,574.5319406,-135.7087397,0.0121594,11.226
2571.642001,573.6511575,-136.1832855,0.01226458,11.205
2572.641862,572.7730114,-136.6642828,0.012359833,11.186
2573.641723,571.8923408,-137.1405035,0.012431839,11.167
2574.641584,571.0064135,-137.6057221,0.012469506,11.15
2575.641444,570.1185636,-138.066205,0.012465658,11.133
2576.641305,569.2330567,-138.5301365,0.012418241,11.118
2577.641166,568.354158,-139.0057009,0.012331341,11.103
2578.641027,567.4860451,-139.5008902,0.01221503,11.089
2579.640888,566.6306602,-140.0188142,0.012084004,11.076
2580.640748,565.7875881,-140.5574319,0.011955303,11.064
2581.640609,564.9563004,-141.1144561,0.011844928,11.053
2582.64047,564.1362691,-141.6875998,0.01176345,11.042
2583.640331,563.3266919,-142.2743986,0.011712917,11.033
2584.640192,562.5248494,-142.8711492,0.011686063,11.025
