Timestamp,Voltage,Current,Power,Energy
202,52.9,0,0,0
951,53.09,0,0,0
1684,53.11,0,0,0
2434,53.12,0,0,0
3184,53.12,0,0,0
3951,53.12,0,0,0
4701,53.12,0,0,0
5451,53.12,0,0,0
6184,53.12,0,0,0
6951,53.13,0,0,0
7701,53.13,0,0,0
8434,53.13,0,0,0
9184,53.13,0,0,0
9934,53.13,0,0,0
10701,53.13,0,0,0
11451,53.13,0,0,0
12201,53.13,0,0,0
12952,53.13,0,0,0
13684,53.13,0,0,0
14452,53.13,0,0,0
15201,53.13,0,0,0
15934,53.13,0,0,0
16701,53.13,0,0,0
17434,53.13,0,0,0
18201,53.13,0,0,0
18952,53.13,0,0,0
19701,53.13,0,0,0
20452,53.13,0,0,0
21201,53.13,0,0,0
21952,53.13,0,0,0
22684,53.13,0,0,0
23434,53.13,0,0,0
24184,53.13,0,0,0
24934,53.13,0,0,0
25684,53.13,0,0,0
26452,53.13,0,0,0
27201,53.13,0,0,0
27934,53.13,0,0,0
28701,53.13,0,0,0
29434,53.13,0,0,0
30201,53.13,0,0,0
30934,53.13,0,0,0
31701,53.13,0,0,0
32452,53.13,0,0,0
33201,53.13,0,0,0
33934,53.13,0,0,0
34684,53.13,0,0,0
35452,53.13,0,0,0
36201,53.13,0,0,0
36952,53.13,0,0,0
37701,53.13,0,0,0
38452,53.13,0,0,0
39201,53.13,0,0,0
39952,53.13,0,0,0
40701,53.13,0,0,0
41452,53.13,0,0,0
42201,53.13,0,0,0
42952,53.13,0,0,0
43684,53.13,0,0,0
44452,53.13,0,0,0
45201,53.13,0,0,0
45934,53.13,0,0,0
46701,53.13,0,0,0
47434,53.13,0,0,0
48201,53.13,0,0,0
48934,53.13,0,0,0
49701,53.13,0,0,0
50434,53.13,0,0,0
51184,53.13,0,0,0
51952,53.13,0,0,0
52701,53.13,0,0,0
53452,53.13,0,0,0
54184,53.13,0,0,0
54952,53.13,0,0,0
55701,53.13,0,0,0
56452,53.13,0,0,0
57184,53.13,0,0,0
57934,53.13,0,0,0
58701,53.13,0,0,0
59452,53.13,0,0,0
60201,53.13,0,0,0
60952,53.13,0,0,0
61701,53.13,0,0,0
62452,53.13,0,0,0
63184,53.13,0,0,0
63934,53.13,0,0,0
64684,53.13,0,0,0
65452,53.13,0,0,0
66201,53.13,0,0,0
66934,53.13,0,0,0
67701,53.13,0,0,0
68434,53.13,0,0,0
69201,53.13,0,0,0
69952,53.13,0,0,0
70701,53.13,0,0,0
71452,53.13,0,0,0
72201,53.13,0,0,0
72952,53.13,0,0,0
73701,53.13,0,0,0
74452,53.13,0,0,0
75201,53.13,0,0,0
75952,53.13,0,0,0
76684,53.13,0,0,0
77452,53.13,0,0,0
78184,53.13,0,0,0
78934,53.13,0,0,0
79701,53.13,0,0,0
80452,53.13,0,0,0
81184,53.13,0,0,0
81934,53.13,0,0,0
82684,53.13,0,0,0
83452,53.13,0,0,0
84184,53.13,0,0,0
84934,53.13,0,0,0
85701,53.13,0,0,0
86452,53.13,0,0,0
87184,53.13,0,0,0
87934,53.13,0,0,0
88701,53.13,0,0,0
89434,53.13,0,0,0
90201,53.13,0,0,0
90952,53.13,0,0,0
91701,53.13,0,0,0
92434,53.13,0,0,0
93184,53.13,0,0,0
93952,53.13,0,0,0
94701,53.13,0,0,0
95434,53.13,0,0,0
96184,53.13,0,0,0
96934,53.13,0,0,0
97701,53.13,0,0,0
98452,53.13,0,0,0
99201,53.13,0,0,0
99952,53.13,0,0,0
100701,53.13,0,0,0
101452,53.13,0,0,0
102184,53.13,0,0,0
102952,53.13,0,0,0
103684,53.13,0,0,0
104434,53.13,0,0,0
105184,53.13,0,0,0
105934,53.13,0,0,0
106684,53.13,0,0,0
107434,53.13,0,0,0
108184,53.13,0,0,0
108934,53.13,0,0,0
109684,53.13,0,0,0
110452,53.13,0,0,0
111184,53.13,0,0,0
111952,53.13,0,0,0
112684,53.13,0,0,0
113452,53.13,0,0,0
114201,53.13,0,0,0
114934,53.13,0,0,0
115701,53.13,0,0,0
116434,53.13,0,0,0
117184,53.13,0,0,0
