s,x,y,kappa,altitude (m)
2236.768904,17.71193565,5.911120841,8.47E-06,1.73
2237.768801,16.71342362,5.858517416,8.81E-06,1.718
2238.768698,15.71491168,5.805912249,9.14E-06,1.706
2239.768594,14.71639937,5.753314011,9.48E-06,1.694
2240.768491,13.71788644,5.700727593,9.82E-06,1.682
2241.768388,12.71937407,5.648130686,1.02E-05,1.671
2242.768284,11.72086405,5.595489019,1.05E-05,1.66
2243.768181,10.72235773,5.542777398,1.08E-05,1.649
2244.768078,9.723853336,5.49002908,1.12E-05,1.638
2245.767975,8.725347913,5.437300358,1.15E-05,1.6
2246.767871,7.726839108,5.384635741,1.19E-05,1.557
2247.767768,6.72832812,5.332012474,1.22E-05,1.514
2248.767665,5.729817403,5.279384091,1.25E-05,1.472
2249.767561,4.731308879,5.226714113,1.29E-05,1.43
2250.767458,3.732801807,5.17401661,1.32E-05,1.388
2251.767355,2.734294606,5.121321568,1.35E-05,1.346
2252.767251,1.735785694,5.068658976,1.39E-05,1.305
2253.767148,0.73727349,5.016058827,1.42E-05,1.264
2254.767045,-0.261243587,4.963551111,1.46E-05,1.223
