latitude,longitude,x_local,y_local
-6.118483561,106.8588023,0.0,0.0
-6.118549868,106.8577648,-114.8792852028273,-6.936365587753244
-6.118571346,106.8573696,-158.63713460753206,-9.160593877430074
-6.118606459,106.8568664,-214.3560496381251,-12.85156635788735
-6.118634526,106.856443,-261.23819516506046,-15.793822017032653
-6.118647177,106.8562901,-278.1694310987368,-17.134545039501972
-6.118654064,106.856171,-291.35672100039665,-17.850700596929528
-6.11865469,106.8560946,-299.8146248240955,-17.89072147978004
-6.118647888,106.8560209,-307.9707941797096,-17.11024105071556
-6.118633466,106.8559751,-313.03545534063596,-15.497659432818182
-6.118605957,106.8559413,-316.76668856921606,-12.442247703205794
-6.11856201,106.8559109,-320.1152548813261,-7.570097799412906
-6.118510099,106.8559073,-320.4939545830712,-1.8273784491466358
-6.118458309,106.8559089,-320.2970480407821,3.8999701779102907
-6.118370141,106.8559223,-318.7799571775831,13.64620455284603
-6.118310641,106.8559344,-317.41772989276797,20.222262755036354
-6.118209072,106.8559558,-315.00990019226447,31.44758576329332
-6.118104956,106.8559831,-311.9479524604976,42.95235073030926
-6.117912238,106.8560512,-304.33549660420977,64.24087533191778
-6.117618262,106.8561802,-289.9425694834208,96.70522574579809
-6.117565595,106.8562132,-286.2692645136267,102.5175657045329
-6.11752717,106.8562532,-281.82648060598876,106.75206753774546
-6.117508118,106.8562806,-278.7859500190243,108.84873775811866
-6.117492453,106.8563238,-273.9976108695846,110.56476528581697
-6.117481985,106.8563673,-269.1780458467547,111.70589084213134
-6.117481883,106.8563694,-268.94553126685787,111.71636904927436
-6.117475315,106.8564183,-263.52966135099996,112.42409034760203
-6.117474316,106.8564811,-256.5771514115622,112.51056590350345
-6.11747451,106.8565408,-249.96827530825976,112.46628056978807
-6.11747777,106.8566018,-243.2166568863904,112.08239844965283
-6.117485714,106.8566734,-235.29337941471022,111.17641243292019
-6.117501073,106.8567213,-229.99658885458484,109.45939177181572
-6.117521988,106.8567622,-225.4768402208574,107.1305552875856
-6.117548597,106.856783,-223.18439155106898,104.1796505569946
-6.117586961,106.8567968,-221.67135353386402,99.93132238462567
-6.117625771,106.8568025,-221.05517787102144,95.63676456466783
-6.117770044,106.8568042,-220.92211203789338,79.67955103318673
-6.117900258,106.8568013,-221.29290729912464,65.27901925367769
-6.117962818,106.8568002,-221.43858607299626,58.3603171518771
-6.118031614,106.8567994,-221.5534372687107,50.75180000811815
-6.118068975,106.8568023,-221.24667672626674,46.618572033243254
-6.118115449,106.8568088,-220.54486950300634,41.47607116366271
-6.118156352,106.8568245,-218.82247003470547,36.946202671620995
-6.118194818,106.8568473,-216.3131514712004,32.68314993195236
-6.118239703,106.8568831,-212.3671532885637,27.70518416026607
-6.118306357,106.8569472,-205.2965935462853,20.30874522170052
-6.118356109,106.8570074,-198.65131555206608,14.78315473452676
-6.118399015,106.8570672,-192.04770311329048,10.014882431714796
-6.118430912,106.857139,-184.11145339906216,6.459611406316981
-6.118446182,106.8572099,-176.26848106470425,4.7436265227152035
-6.118450738,106.8572657,-170.0930215504486,4.218384396517649
-6.118450331,106.8573356,-162.35475904273335,4.236653525731526
-6.118450025,106.8574268,-152.2585707657272,4.2356007968774065
-6.118432174,106.8579391,-95.53882581880316,6.013863319763914
-6.118413053,106.858265,-59.45354056346696,8.00389491720125
-6.118404266,106.8583379,-51.379960180376656,8.947828374686651
-6.118393811,106.8584024,-44.235643151798286,10.079457310494035
-6.118375116,106.85849,-34.53094329731539,12.11358461191412
-6.118348573,106.858585,-24.004040826461278,15.012865267577581
-6.118326737,106.8586479,-17.03249218664132,17.40384143171832
-6.118295644,106.8587273,-8.230807815794833,20.812322431243956
-6.118260363,106.8588094,0.8713772592600435,24.682960994774476
-6.118221079,106.8588881,9.598706224700436,28.99763196532149
-6.118170889,106.8589768,19.437236187281087,34.514675346552394
-6.118043803,106.8591659,40.41974281100556,48.4979598937789
-6.117976626,106.8592611,50.984347582096234,55.891271729720756
-6.117822855,106.8594532,72.30919088120572,72.82476024527568
-6.117696284,106.8595824,86.66042979725171,86.7740194578655
-6.117618716,106.8596539,94.60536729102023,95.32564943283796
-6.117570308,106.8596851,98.07782197417691,100.66762125410605
-6.117518735,106.8597041,100.20091341482475,106.36431525473017
-6.117473945,106.8597039,100.19591392914299,111.31816437968519
-6.117431951,106.8596893,98.59572270140052,115.96829190419521
-6.117385903,106.8596595,95.31439850560855,121.07261377805844
-6.11735393,106.8596318,92.26016361545771,124.61943646497093
-6.117318261,106.8595944,88.13352449168451,128.57875165191945
-6.117241453,106.859492,76.82693719177041,137.1129331625998
-6.117142155,106.8593659,62.90529247536324,148.14358060166705
-6.117079452,106.8593062,56.32031749910675,155.1013912501512
-6.117033609,106.8592851,54.00202438875567,160.17970441421494
-6.11697214,106.8592852,54.03661161393393,166.9781337819295
-6.11691334,106.8593158,57.446618137764744,173.4696923532756
-6.116861804,106.8593709,63.56606929039117,179.1484708120115
-6.116811767,106.8594357,70.75876722403336,184.65774498553947
-6.116763001,106.8595056,78.51556567312218,190.02449300547596
-6.116689653,106.8596204,91.25233762874268,198.09281258715782
-6.116654307,106.8596825,98.1405212689424,201.97829489863943
-6.11663111,106.8597474,105.33402567857411,204.5190252630273
-6.116616652,106.8598085,112.10351517237723,206.0946772887837
-6.116606094,106.859875,119.46930938423611,207.23692036618013
-6.116599488,106.8599459,127.32068528421223,207.94038608681876
-6.116591748,106.8600399,137.72973688412458,208.76042237773072
-6.116578036,106.8601007,144.46573237492703,210.25367845664732
