x_meter_interp,y_meter_interp,cumulative_distance,x_wall_left,y_wall_left,x_wall_right,y_wall_right
0.0,0.0,0.0,0.3013491989111649,-4.990910604320177,-0.3013491989111649,4.990910604320177
-0.9979045613247601,-0.060253080847553084,0.999721934972112,-0.6965553624135952,-5.05116368516773,-1.299253760235925,4.930657523472624
-1.9958091226495203,-0.12050616169510617,1.999443869944224,-1.6944599237383553,-5.111416766015283,-2.2971583215606852,4.870404442625071
-2.9937136839742804,-0.18075924254265924,2.999165804916336,-2.6923644850631154,-5.171669846862836,-3.2950628828854454,4.8101513617775185
-3.9916182452990405,-0.24101232339021234,3.998887739888448,-3.6902690463878756,-5.231922927710389,-4.2929674442102055,4.7498982809299655
-4.989522806623801,-0.30126540423776543,4.99860967486056,-4.688173607712636,-5.292176008557943,-5.290872005534966,4.689645200082412
-5.987427367948561,-0.3615184850853185,5.998331609832672,-5.686078169037396,-5.352429089405496,-6.288776566859726,4.629392119234859
-6.985331929273321,-0.4217715659328716,6.998053544804784,-6.683982730362156,-5.412682170253049,-7.286681128184486,4.569139038387306
-7.983236490598081,-0.48202464678042467,7.997775479776896,-7.681887291686916,-5.472935251100602,-8.284585689509246,4.508885957539753
-8.98114105192284,-0.5422777276279778,8.997497414749008,-8.679791853011675,-5.533188331948155,-9.282490250834005,4.4486328766922
-9.979045613247601,-0.6025308084755309,9.99721934972112,-9.677696414336436,-5.593441412795708,-10.280394812158766,4.388379795844647
-10.97695017457236,-0.662783889323084,10.996941284693232,-10.675600975661196,-5.653694493643261,-11.278299373483526,4.328126714997094
-11.974854735897122,-0.723036970170637,11.996663219665344,-11.673505536985957,-5.713947574490814,-12.276203934808287,4.267873634149541
-12.972759297221883,-0.7832900510181902,12.996385154637457,-12.671410098310718,-5.774200655338367,-13.274108496133048,4.207620553301988
-13.970663858546642,-0.8435431318657431,13.996107089609568,-13.669314659635477,-5.834453736185921,-14.272013057457807,4.147367472454434
-14.968568419871403,-0.9037962127132964,14.995829024581681,-14.667219220960238,-5.894706817033474,-15.269917618782568,4.087114391606881
-15.966472981196162,-0.9640492935608493,15.995550959553793,-15.665123782284997,-5.954959897881027,-16.267822180107327,4.026861310759328
-16.96437754252092,-1.0243023744084025,16.995272894525904,-16.663028343609756,-6.01521297872858,-17.265726741432086,3.966608229911775
-17.96228210384568,-1.0845554552559555,17.994994829498015,-17.660932904934516,-6.075466059576133,-18.263631302756846,3.906355149064222
-18.960186665170443,-1.1448085361035087,18.99471676447013,-18.65883746625928,-6.135719140423686,-19.26153586408161,3.846102068216669
-19.958091226495203,-1.2050616169510617,19.99443869944224,-19.656742027584038,-6.195972221271239,-20.259440425406368,3.785848987369116
-20.955995787819962,-1.265314697798615,20.994160634414353,-20.654646588908797,-6.256225302118793,-21.257344986731127,3.7255959065215625
-21.95390034914472,-1.325567778646168,21.993882569386464,-21.652551150233556,-6.316478382966345,-22.255249548055886,3.6653428256740095
-22.95180491046948,-1.385820859493721,22.993604504358576,-22.650455711558315,-6.376731463813899,-23.253154109380645,3.6050897448264565
-23.949709471794243,-1.446073940341274,23.993326439330687,-23.648360272883078,-6.436984544661451,-24.251058670705408,3.5448366639789035
-24.947614033119006,-1.5063270211888273,24.993048374302802,-24.64626483420784,-6.497237625509005,-25.24896323203017,3.48458358313135
-25.945518594443765,-1.5665801020363803,25.992770309274913,-25.6441693955326,-6.557490706356558,-26.24686779335493,3.424330502283797
-26.943423155768524,-1.6268331828839333,26.992492244247025,-26.64207395685736,-6.617743787204111,-27.24477235467969,3.364077421436244
-27.941327717093284,-1.6870862637314863,27.992214179219136,-27.63997851818212,-6.677996868051664,-28.24267691600445,3.303824340588691
-28.939232278418043,-1.7473393445790395,28.991936114191247,-28.637883079506878,-6.738249948899217,-29.240581477329208,3.243571259741138
-29.937136839742806,-1.8075924254265927,29.991658049163362,-29.63578764083164,-6.798503029746771,-30.23848603865397,3.1833181788935847
-30.935041401067565,-1.8678455062741457,30.991379984135474,-30.6336922021564,-6.858756110594323,-31.23639059997873,3.1230650980460317
-31.932945962392324,-1.9280985871216987,31.991101919107585,-31.63159676348116,-6.9190091914418765,-32.234295161303486,3.0628120171984787
-32.93085052371709,-1.9883516679692521,32.9908238540797,-32.62950132480593,-6.9792622722894295,-33.23219972262825,3.0025589363509253
-33.92875508504184,-2.048604748816805,33.99054578905181,-33.62740588613068,-7.0395153531369825,-34.230104283953004,2.9423058555033723
-34.92665964636661,-2.108857829664358,34.99026772402392,-34.62531044745545,-7.0997684339845355,-35.22800884527777,2.8820527746558193
-35.92456420769136,-2.169110910511911,35.98998965899603,-35.6232150087802,-7.1600215148320885,-36.22591340660252,2.8217996938082663
-36.92246876901613,-2.229363991359464,36.989711593968146,-36.621119570104966,-7.2202745956796415,-37.22381796792729,2.7615466129607134
-37.92037333034089,-2.2896170722070175,37.98943352894026,-37.619024131429725,-7.2805276765271945,-38.22172252925205,2.70129353211316
-38.918277891665646,-2.3498701530545705,38.98915546391237,-38.616928692754485,-7.340780757374748,-39.21962709057681,2.641040451265607
-39.916182452990405,-2.4101232339021235,39.98887739888448,-39.614833254079244,-7.4010338382223,-40.21753165190157,2.580787370418054
-40.914087014315164,-2.4703763147496764,40.98859933385659,-40.612737815404,-7.461286919069854,-41.215436213226326,2.520534289570501
-41.911991575639924,-2.53062939559723,41.988321268828706,-41.61064237672876,-7.521539999917407,-42.213340774551085,2.4602812087229475
-42.90989613696469,-2.590882476444783,42.98804320380082,-42.60854693805353,-7.58179308076496,-43.21124533587585,2.4000281278753945
-43.90780069828944,-2.651135557292336,43.98776513877293,-43.60645149937828,-7.642046161612513,-44.209149897200604,2.3397750470278416
-44.90570525961421,-2.711388638139889,44.987487073745044,-44.60435606070305,-7.702299242460066,-45.20705445852537,2.2795219661802886
-45.90360982093896,-2.771641718987442,45.98720900871715,-45.6022606220278,-7.762552323307619,-46.20495901985012,2.2192688853327356
-46.90151438226373,-2.8318947998349953,46.986930943689266,-46.600165183352566,-7.822805404155172,-47.20286358117489,2.159015804485182
-47.899418943588486,-2.892147880682548,47.986652878661374,-47.598069744677325,-7.883058485002725,-48.20076814249965,2.0987627236376296
-48.897323504913246,-2.9524009615301012,48.98637481363349,-48.595974306002084,-7.943311565850278,-49.19867270382441,2.038509642790076
-49.89522806623801,-3.0126540423776547,49.986096748605604,-49.59387886732685,-8.003564646697832,-50.19657726514917,1.9782565619425228
-50.893132627562764,-3.072907123225207,50.98581868357771,-50.5917834286516,-8.063817727545384,-51.194481826473925,1.9180034810949702
-51.89103718888753,-3.1331602040727606,51.98554061854983,-51.58968798997637,-8.124070808392938,-52.19238638779869,1.8577504002474168
-52.88894175021228,-3.1934132849203136,52.985262553521935,-52.58759255130112,-8.184323889240492,-53.190290949123444,1.7974973193998638
-53.88684631153705,-3.2536663657678666,53.98498448849405,-53.58549711262589,-8.244576970088044,-54.18819551044821,1.7372442385523108
-54.88475087286181,-3.31391944661542,54.984706423466164,-54.58340167395065,-8.304830050935598,-55.18610007177297,1.6769911577047574
-55.88265543418657,-3.3741725274629726,55.98442835843827,-55.581306235275406,-8.36508313178315,-56.18400463309773,1.6167380768572048
-56.88055999551133,-3.434425608310526,56.98415029341039,-56.579210796600165,-8.425336212630704,-57.18190919442249,1.5564849960096514
-57.878464556836086,-3.494678689158079,57.983872228382495,-57.577115357924924,-8.485589293478256,-58.17981375574725,1.4962319151620984
-58.876369118160845,-3.554931770005632,58.98359416335461,-58.575019919249684,-8.54584237432581,-59.17771831707201,1.4359788343145454
-59.87427367948561,-3.6151848508531854,59.983316098326725,-59.57292448057445,-8.606095455173364,-60.17562287839677,1.375725753466992
-60.87217824081036,-3.6754379317007384,60.98303803329883,-60.5708290418992,-8.666348536020916,-61.173527439721525,1.315472672619439
-61.87008280213513,-3.7356910125482914,61.98275996827095,-61.56873360322397,-8.726601616868468,-62.17143200104629,1.255219591771886
-62.86798736345989,-3.7959440933958444,62.982481903243055,-62.56663816454873,-8.786854697716022,-63.16933656237105,1.194966510924333
-63.86589192478465,-3.8561971742433974,63.98220383821517,-63.56454272587349,-8.847107778563576,-64.16724112369582,1.13471343007678
-64.86379648610941,-3.916450255090951,64.98192577318729,-64.56244728719824,-8.907360859411128,-65.16514568502058,1.0744603492292266
-65.86170104743418,-3.9767033359385042,65.9816477081594,-65.56035184852301,-8.967613940258682,-66.16305024634535,1.0142072683816732
-66.85960560875893,-4.036956416786056,66.9813696431315,-66.55825640984776,-9.027867021106234,-67.1609548076701,0.9539541875341211
-67.85751017008369,-4.09720949763361,67.98109157810362,-67.55616097117252,-9.088120101953788,-68.15885936899485,0.8937011066865672
-68.85541473140844,-4.157462578481163,68.98081351307573,-68.55406553249728,-9.14837318280134,-69.15676393031961,0.8334480258390142
-69.85331929273322,-4.217715659328716,69.98053544804785,-69.55197009382205,-9.208626263648894,-70.15466849164439,0.7731949449914612
-70.85122385405798,-4.277968740176269,70.98025738301996,-70.54987465514681,-9.268879344496447,-71.15257305296915,0.7129418641439083
-71.84912841538272,-4.338221821023822,71.97997931799206,-71.54777921647155,-9.329132425344,-72.15047761429389,0.6526887832963553
-72.84703297670748,-4.398474901871375,72.97970125296418,-72.54568377779631,-9.389385506191552,-73.14838217561865,0.5924357024488023
-73.84493753803226,-4.458727982718928,73.97942318793629,-73.54358833912109,-9.449638587039106,-74.14628673694342,0.5321826216012493
-74.84284209935701,-4.518981063566482,74.9791451229084,-74.54149290044585,-9.50989166788666,-75.14419129826818,0.4719295407536954
-75.84074666068177,-4.579234144414035,75.97886705788052,-75.5393974617706,-9.570144748734212,-76.14209585959294,0.41167645990614243
