x_meter_interp,y_meter_interp,cumulative_distance
0.0,0.0,0.0
-0.9979045613247601,-0.060253080847553084,0.999721934972112
-1.9958091226495203,-0.12050616169510617,1.999443869944224
-2.9937136839742804,-0.18075924254265924,2.999165804916336
-3.9916182452990405,-0.24101232339021234,3.998887739888448
-4.989522806623801,-0.30126540423776543,4.99860967486056
-5.987427367948561,-0.3615184850853185,5.998331609832672
-6.985331929273321,-0.4217715659328716,6.998053544804784
-7.983236490598081,-0.48202464678042467,7.997775479776896
-8.98114105192284,-0.5422777276279778,8.997497414749008
-9.979045613247601,-0.6025308084755309,9.99721934972112
-10.97695017457236,-0.662783889323084,10.996941284693232
-11.974854735897122,-0.723036970170637,11.996663219665344
-12.972759297221883,-0.7832900510181902,12.996385154637457
-13.970663858546642,-0.8435431318657431,13.996107089609568
-14.968568419871403,-0.9037962127132964,14.995829024581681
-15.966472981196162,-0.9640492935608493,15.995550959553793
-16.96437754252092,-1.0243023744084025,16.995272894525904
-17.96228210384568,-1.0845554552559555,17.994994829498015
-18.960186665170443,-1.1448085361035087,18.99471676447013
-19.958091226495203,-1.2050616169510617,19.99443869944224
-20.955995787819962,-1.265314697798615,20.994160634414353
-21.95390034914472,-1.325567778646168,21.993882569386464
-22.95180491046948,-1.385820859493721,22.993604504358576
-23.949709471794243,-1.446073940341274,23.993326439330687
-24.947614033119006,-1.5063270211888273,24.993048374302802
-25.945518594443765,-1.5665801020363803,25.992770309274913
-26.943423155768524,-1.6268331828839333,26.992492244247025
-27.941327717093284,-1.6870862637314863,27.992214179219136
-28.939232278418043,-1.7473393445790395,28.991936114191247
-29.937136839742806,-1.8075924254265927,29.991658049163362
-30.935041401067565,-1.8678455062741457,30.991379984135474
-31.932945962392324,-1.9280985871216987,31.991101919107585
-32.93085052371709,-1.9883516679692521,32.9908238540797
-33.92875508504184,-2.048604748816805,33.99054578905181
-34.92665964636661,-2.108857829664358,34.99026772402392
-35.92456420769136,-2.169110910511911,35.98998965899603
-36.92246876901613,-2.229363991359464,36.989711593968146
-37.92037333034089,-2.2896170722070175,37.98943352894026
-38.918277891665646,-2.3498701530545705,38.98915546391237
-39.916182452990405,-2.4101232339021235,39.98887739888448
-40.914087014315164,-2.4703763147496764,40.98859933385659
-41.911991575639924,-2.53062939559723,41.988321268828706
-42.90989613696469,-2.590882476444783,42.98804320380082
-43.90780069828944,-2.651135557292336,43.98776513877293
-44.90570525961421,-2.711388638139889,44.987487073745044
-45.90360982093896,-2.771641718987442,45.98720900871715
-46.90151438226373,-2.8318947998349953,46.986930943689266
-47.899418943588486,-2.892147880682548,47.986652878661374
-48.897323504913246,-2.9524009615301012,48.98637481363349
-49.89522806623801,-3.0126540423776547,49.986096748605604
-50.893132627562764,-3.072907123225207,50.98581868357771
-51.89103718888753,-3.1331602040727606,51.98554061854983
-52.88894175021228,-3.1934132849203136,52.985262553521935
-53.88684631153705,-3.2536663657678666,53.98498448849405
-54.88475087286181,-3.31391944661542,54.984706423466164
-55.88265543418657,-3.3741725274629726,55.98442835843827
-56.88055999551133,-3.434425608310526,56.98415029341039
-57.878464556836086,-3.494678689158079,57.983872228382495
-58.876369118160845,-3.554931770005632,58.98359416335461
-59.87427367948561,-3.6151848508531854,59.983316098326725
-60.87217824081036,-3.6754379317007384,60.98303803329883
-61.87008280213513,-3.7356910125482914,61.98275996827095
-62.86798736345989,-3.7959440933958444,62.982481903243055
-63.86589192478465,-3.8561971742433974,63.98220383821517
-64.86379648610941,-3.916450255090951,64.98192577318729
-65.86170104743418,-3.9767033359385042,65.9816477081594
-66.85960560875893,-4.036956416786056,66.9813696431315
-67.85751017008369,-4.09720949763361,67.98109157810362
-68.85541473140844,-4.157462578481163,68.98081351307573
-69.85331929273322,-4.217715659328716,69.98053544804785
-70.85122385405798,-4.277968740176269,70.98025738301996
-71.84912841538272,-4.338221821023822,71.97997931799206
-72.84703297670748,-4.398474901871375,72.97970125296418
-73.84493753803226,-4.458727982718928,73.97942318793629
-74.84284209935701,-4.518981063566482,74.9791451229084
-75.84074666068177,-4.579234144414035,75.97886705788052
-76.83865122200652,-4.639487225261587,76.97858899285262
-77.83655578333129,-4.699740306109141,77.97831092782474
-78.83446034465605,-4.759993386956694,78.97803286279685
-79.83236490598081,-4.820246467804247,79.97775479776897
-80.83026946730558,-4.880499548651801,80.97747673274108
-81.82817402863033,-4.940752629499353,81.97719866771318
-82.82607858995509,-5.001005710346906,82.9769206026853
-83.82398315127985,-5.06125879119446,83.97664253765741
-84.82188771260462,-5.121511872042013,84.97636447262953
-85.81979227392938,-5.181764952889566,85.97608640760164
-86.81769683525413,-5.242018033737119,86.97580834257374
-87.81560139657888,-5.302271114584672,87.97553027754586
-88.81350595790366,-5.362524195432225,88.97525221251797
-89.81141051922842,-5.422777276279778,89.97497414749009
-90.80931508055318,-5.4830303571273316,90.9746960824622
-91.80721964187792,-5.543283437974884,91.9744180174343
-92.8051242032027,-5.603536518822437,92.97413995240642
-93.80302876452745,-5.6637895996699905,93.97386188737853
-94.80093332585221,-5.7240426805175435,94.97358382235065
-95.79883788717697,-5.784295761365096,95.97330575732275
-96.79674244850173,-5.8445488422126495,96.97302769229486
-97.79464700982649,-5.9048019230602025,97.97274962726698
-98.79255157115125,-5.9650550039077554,98.9724715622391
-99.79045613247602,-6.025308084755309,99.97219349721121
-100.78836069380077,-6.085561165602861,100.97191543218331
-101.78626525512553,-6.145814246450414,101.97163736715542
-102.78416981645029,-6.206067327297968,102.97135930212754
-103.78207437777506,-6.266320408145521,103.97108123709965
