s,x,y,kappa
0.0,-0.2507440364434738,4.152793752156924,-2.2955923715751017e-05
0.9998966939257747,-1.2488326893755877,4.092690091027976,-2.279627951134657e-05
1.9997933878515495,-2.2469259342902337,4.032662815046415,-2.2636635299058655e-05
2.999690081777324,-3.245023251815367,3.9727033143079136,-2.2476991078887272e-05
3.999586775703099,-4.243124122578947,3.9128029789081546,-2.2317346850832422e-05
4.999483469628874,-5.24122802720893,3.8529531989428154,-2.2157702614894147e-05
5.999380163554648,-6.239334446299675,3.793145363941128,-2.1998058368327192e-05
6.999276857480423,-7.237442769642374,3.733369332582028,-2.1838414114904013e-05
7.999173551406198,-8.23555209860501,3.673610101017924,-2.1678769855575832e-05
8.999070245331973,-9.23366147784946,3.6138517093277156,-2.1519125591268808e-05
9.998966939257748,-10.231770333011257,3.5540845621650585,-2.1359481322884266e-05
10.998863633183522,-11.22987917025688,3.4943171156158055,-2.1199837051298837e-05
11.998760327109297,-12.227988685293639,3.434560992248869,-2.1040192777364664e-05
12.998657021035072,-13.22609928022772,3.3748229095462925,-2.0880548501909592e-05
13.998553714960845,-14.22421061226965,3.315097140290085,-2.072090422573733e-05
14.99845040888662,-15.22232222376573,3.2553760382814865,-2.0561259949627648e-05
15.998347102812396,-16.220434004336305,3.1956577623062783,-2.0401615674336555e-05
16.99824379673817,-17.21854663321954,3.135953670292859,-2.024197140059648e-05
17.998140490663946,-18.216660897589584,3.0762769244944903,-2.0082327129116474e-05
18.99803718458972,-19.214777404137752,3.0166376822192587,-1.9922682860582353e-05
19.997933878515497,-20.212896391110412,2.957039966358722,-1.976303859562282e-05
20.99783057244127,-21.211018049815163,2.897487018021421,-1.9609780583393104e-05
21.997727266367043,-22.209142373071987,2.83797874602213,-1.9456705213419482e-05
22.99762396029282,-23.207268989294363,2.778508941366186,-1.929977935931119e-05
23.997520654218594,-24.205397487926735,2.7190707406635237,-1.9133284148235724e-05
24.997417348144367,-25.203527465525532,2.6596573878923158,-1.8949116351117337e-05
25.997314042070144,-26.201658530406956,2.6002623045662236,-1.8737055232505053e-05
26.997210735995917,-27.199790296408896,2.540879003129904,-1.8484504793812068e-05
27.99710742992169,-28.19792261674611,2.4815050200049416,-1.817502894068788e-05
28.997004123847468,-29.19605570157101,2.4221438918118423,-1.778811302140138e-05
29.99690081777324,-30.19418977839694,2.3627994468924536,-1.730187912031586e-05
30.996797511699018,-31.192324579218507,2.3034671787753136,-1.6699179041745477e-05
31.99669420562479,-32.19045916905385,2.244131362191765,-1.5958595723297374e-05
32.99659089955057,-33.18859259651147,2.184775995834047,-1.5076122566793287e-05
33.99648759347634,-34.18672493986676,2.12540239703026,-1.4056380204434893e-05
34.996384287402115,-35.184857529434055,2.066032941963404,-1.291218822280141e-05
35.99628098132789,-36.182991738995085,2.0066907379777876,-1.1663527001771264e-05
36.99617767525366,-37.1811280608883,1.9473840683728252,-1.0336257592642233e-05
37.99607436917944,-38.179266018717634,1.8881049243448147,-8.95941436044541e-06
38.995971063105216,-39.177405112212185,1.8288448964397594,-7.562387772387559e-06
39.99586775703099,-40.17554542677302,1.7696054448691505,-6.172705555254918e-06
40.99576445095676,-41.17368762971738,1.7103978362190821,-4.815601655177816e-06
41.99566114488254,-42.171832371772254,1.651233056768482,-3.5139203257083994e-06
42.99555783880832,-43.16997950907461,1.592108688533771,-2.2870248240063554e-06
43.99545453273409,-44.168128184025065,1.5330102732232342,-1.1481461667284168e-06
44.995351226659864,-45.16627755168555,1.4739235656085659,-1.0241707343730634e-07
45.99524792058564,-46.164427384404085,1.414844725208113,8.534459749013022e-07
46.99514461451141,-47.162577955657945,1.3557783583896306,1.7286082869318324e-06
47.99504130843719,-48.16072946709285,1.2967278592942921,2.535004218684423e-06
48.994938002362964,-49.15888091853826,1.2376763443733705,3.2845032038036135e-06
49.994834696288734,-50.15703042849699,1.1785920598595852,3.987665950209413e-06
50.99473139021451,-51.15517625282926,1.119445570424603,4.653444348731435e-06
51.99462808414029,-52.153318545245334,1.060239472777815,5.29017458889959e-06
52.99452477806606,-53.15145871563604,1.000997565525118,5.905587125092778e-06
53.994421471991835,-54.149598036263725,0.9417413295514743,6.505614344091441e-06
54.99431816591761,-55.14773610221167,0.882463992501329,7.090839640496265e-06
55.99421485984338,-56.145871507624776,0.8231419205209591,7.65489243260469e-06
56.99411155376916,-57.14400305735641,0.763755021787935,8.185494777874869e-06
57.994008247694936,-58.142131611901135,0.7043177644004803,8.668596937630435e-06
58.99390494162071,-59.14025913648307,0.6448631894288139,9.09116327201465e-06
59.99380163554648,-60.1383873963779,0.585420976248017,9.442291139913666e-06
60.99369832947226,-61.13651645848903,0.5259922498691476,9.712816298886158e-06
61.993595023398036,-62.134645569047116,0.4665643375120281,9.897120546512341e-06
62.993491717323806,-63.13277414895231,0.40712750268419334,9.995055787997003e-06
63.99338841124958,-64.13090290068064,0.34769355295966625,1.0013340607598485e-05
64.99328510517536,-65.12903308258282,0.2882836405022166,9.963812827917908e-06
65.99318179910114,-66.12716569166976,0.22891452466429826,9.862217116152447e-06
66.99307849302691,-67.12530006336934,0.1695750355446523,9.728211950757254e-06
67.99297518695268,-68.12343488736691,0.11024314907024824,9.587033687643486e-06
68.99287188087845,-69.1215690764085,0.050900590197737225,9.469106012799212e-06
69.99276857480423,-70.11970279915079,-0.008449807726964152,9.407965498954688e-06
70.99266526873001,-71.11783666075634,-0.06779787490326337,9.43604364857939e-06
71.99256196265578,-72.11597101980357,-0.12713758505442221,9.581519720327357e-06
