s,x,y,kappa,altitude (m)
1763.833741,270.3100724,170.2658927,0.005628277,-0.492
1764.833647,269.992204,171.2139154,0.00582711,-0.584
1765.833553,269.6702697,172.1606044,0.006044721,-0.501
1766.833458,269.3439003,173.1058272,0.006277538,-0.394
1767.833364,269.0111643,174.048824,0.006521071,-0.286
1768.83327,268.6687446,174.9882788,0.00676954,-0.18
1769.833176,268.3133535,175.9228827,0.007015692,-0.075
1770.833081,267.9437501,176.8520237,0.007250642,0.029
1771.832987,267.5609029,177.775842,0.007464415,0.132
1772.832893,267.1658782,178.6945127,0.007647126,0.233
1773.832799,266.7593966,179.6081294,0.00779121,0.334
1774.832704,266.3417928,180.5166958,0.007892913,0.433
1775.83261,265.9133853,181.4202126,0.007952438,0.532
1776.832516,265.4745889,182.3187355,0.007972093,0.63
1777.832422,265.0259249,183.2123804,0.007954486,0.727
1778.832327,264.5679195,184.1012672,0.007901725,0.823
1779.832233,264.1010836,184.9855376,0.007816108,0.919
1780.832139,263.6259124,185.8653558,0.007700758,1.014
1781.832045,263.1429011,186.7408887,0.007560253,1.109
1782.83195,262.6525589,187.6123325,0.007401051,1.203
1783.831856,262.1554084,188.4799123,0.007232189,1.298
1784.831762,261.6519721,189.3438548,0.007064883,1.392
1785.831668,261.1427553,190.2043977,0.006911166,1.486
1786.831573,260.628249,191.0617888,0.006781517,1.58
1787.831479,260.1089441,191.9162775,0.006683608,1.674
1788.831385,259.585345,192.7681384,0.006622226,1.768
1789.831291,259.0579661,193.617666,0.006600578,1.863
1790.831196,258.5273154,194.4651517,0.006621229,1.958
1791.831102,257.9938047,195.3108372,0.006686671,2.054
1792.831008,257.4577763,196.1549284,0.006799231,2.15
1793.830913,256.9196018,196.9976506,0.006960737,2.246
1794.830819,256.3800187,197.8394711,0.007171916,2.343
1795.830725,255.8400038,198.6810151,0.007431762,2.442
1796.830631,255.3004019,199.5228234,0.00773737,2.542
1797.830536,254.7606598,200.3645412,0.008084296,2.644
1798.830442,254.2194009,201.2052865,0.008467331,2.745
1799.830348,253.6752523,202.0441755,0.008881376,2.844
1800.830254,253.1269696,202.88037,0.009322216,2.844
1801.830159,252.5733766,203.7130564,0.009787078,2.811
1802.830065,252.0132999,204.5414134,0.010274927,2.778
1803.829971,251.4455842,205.3645606,0.010786414,2.746
1804.829877,250.8690827,206.1815888,0.01132348,2.715
