s,velocity,energy,time
0.015748665,0.650201758,0.003873797,0.257877706
0.017983447,0.70875924,0.004408737,0.269717951
0.020414497,0.769551271,0.004988419,0.281558195
0.023049107,0.83254321,0.005614243,0.29339844
0.024608864,0.86860811,0.00598367,0.3
0.024779984,0.872508771,0.006024149,0.300706047
0.025123757,0.880325327,0.006105449,0.30211814
0.025786526,0.895285807,0.006262089,0.304805631
0.02716245,0.925902455,0.00658685,0.310245295
0.030895657,1.006224094,0.007465234,0.324156957
0.034944797,1.089413805,0.008413768,0.338068619
0.039320848,1.175417471,0.009434392,0.351980282
0.045041942,1.28267352,0.010762246,0.368737952
0.051271411,1.393842363,0.012200494,0.385495622
0.057087254,1.49315307,0.013536692,0.4
0.057208869,1.495187705,0.013564569,0.400292816
0.057452431,1.499259258,0.013620394,0.400878448
0.058483794,1.51642873,0.013856671,0.403340843
0.06104425,1.558566866,0.014442461,0.409336065
0.069628088,1.695165261,0.016398361,0.428330754
0.078944837,1.836379451,0.01850857,0.447325444
0.091359335,2.014994033,0.02130153,0.470533887
0.104946187,2.200081346,0.024335791,0.49374233
0.108814775,2.251069587,0.025195809,0.5
0.109047532,2.254113518,0.025247496,0.500371733
0.109513677,2.260204553,0.025350996,0.501115198
0.111506576,2.28613251,0.025793211,0.504271337
0.116469754,2.349930726,0.026892586,0.51197936
0.133425734,2.560227065,0.030628283,0.536842727
0.151857278,2.777228574,0.034656669,0.561706094
0.176670262,3.053470101,0.040030783,0.592346245
0.183236997,3.123953991,0.041444488,0.6
0.183636886,3.128211385,0.041530458,0.600460199
0.184437752,3.136730322,0.041702604,0.601380596
0.187862359,3.172991769,0.042438141,0.605288402
0.196398263,3.262231641,0.044267403,0.614838733
0.218913264,3.490341485,0.049065229,0.638845583
0.252372461,3.811987257,0.056123861,0.67183591
0.283296238,4.093512105,0.062574196,0.7
0.283940404,4.099231419,0.06270783,0.700565715
0.285230533,4.110674613,0.062975413,0.701697145
0.289649592,4.149701608,0.063891079,0.705548933
0.296079017,4.206027058,0.065220893,0.711089068
0.307667436,4.306228165,0.067610627,0.720891008
0.333973784,4.527760888,0.073002303,0.742331571
0.387381497,4.955023953,0.08381447,0.78288248
0.411378076,5.13845734,0.088618998,0.8
0.412336875,5.145681715,0.088810274,0.80067079
0.414257165,5.160135598,0.08919326,0.802012371
0.42251738,5.221966839,0.090838349,0.80774084
0.439998694,5.351035744,0.094307505,0.81964526
0.478800645,5.629353219,0.101948789,0.845088261
0.53833591,6.03661526,0.113521004,0.881832223
0.569313657,6.240053585,0.119473274,0.9
0.569715133,6.242654022,0.119550107,0.900231522
0.570518418,6.247855263,0.11970382,0.900694566
0.574544886,6.273872391,0.120473829,0.903009787
0.584421629,6.337312525,0.122359242,0.908648635
0.605825903,6.47298524,0.126428669,0.920678861
0.654143372,6.770477663,0.135530566,0.946947351
0.704635518,7.06904853,0.144915443,0.97321584
0.758361414,7.373310698,0.154747734,1
0.767721951,7.42471887,0.156441041,1.004538614
0.786572427,7.527359555,0.159839279,1.013615842
0.805681175,7.629579185,0.163259146,1.02269307
0.825046942,7.731225408,0.166697065,1.031770298
0.857264718,7.895691478,0.172345186,1.046614428
0.890154691,8.057268046,0.178006411,1.061458558
0.923703285,8.215148731,0.183654626,1.076302688
0.956255174,8.361618712,0.188999743,1.090441368
0.978585252,8.458419747,0.192585926,1.1
0.991936514,8.514474841,0.194687229,1.105645039
1.018813136,8.625503694,0.198871791,1.116935116
1.046034793,8.7345125,0.20302205,1.128225194
1.092242895,8.91288076,0.209891419,1.147077742
1.139375535,9.087603731,0.216709661,1.16593029
1.218308355,9.367596049,0.227820674,1.196724663
1.226844538,9.397046195,0.229003065,1.2
1.22824899,9.401876041,0.229197278,1.200537768
1.231059337,9.411533107,0.229585748,1.201613304
1.245154292,9.459742016,0.231529485,1.206990983
1.281011022,9.580769339,0.236442481,1.220549887
1.353939827,9.820422433,0.246315696,1.247614585
1.428662153,10.05789834,0.256295153,1.274679283
1.500180261,10.2784287,0.265741961,1.3
1.503773079,10.28933889,0.266214011,1.301257043
1.510966331,10.31115259,0.267158683,1.30377113
1.530331204,10.36958442,0.269697628,1.310513011
1.556392298,10.44756275,0.273105164,1.319526729
1.614713957,10.61944927,0.280694347,1.339459121
1.732584834,10.95662419,0.295894381,1.378792984
1.797660948,11.13738504,0.30421513,1.4
1.803848237,11.15436874,0.305003641,1.401996907
1.816241651,11.18832485,0.306582261,1.405990722
1.871662573,11.33866325,0.3136225,1.42370417
1.984456894,11.63744268,0.327861425,1.459050417
2.118789609,11.98173688,0.344678597,1.5
2.126016315,11.99991041,0.345579123,1.502168028
2.140491612,12.03624764,0.347382133,1.506504085
2.203026952,12.19176967,0.355154188,1.525088125
2.359259046,12.57054026,0.374457424,1.570514867
2.404208265,12.67708135,0.379983044,1.583333333
2.404208265,12.67708135,0.379983044,1.583333333
2.404208265,12.67708135,0.379983044,1.583333333
2.423879919,12.72331135,0.382373865,1.588899333
2.463254701,12.81555459,0.387116007,1.6
2.467847107,12.82627499,0.387663164,1.601288968
2.477039598,12.84772133,0.388756649,1.603866905
2.496659749,12.89341858,0.391079904,1.609354816
2.529662441,12.97007929,0.394960617,1.618542258
2.584901444,13.09793074,0.401399517,1.633799304
2.640683989,13.22658396,0.407850456,1.649056349
2.718213147,13.40484696,0.416760473,1.670016918
2.796785847,13.58504309,0.425743673,1.690977486
2.830931409,13.66324447,0.429636287,1.7
2.832743078,13.66739217,0.42984265,1.700477195
2.836367517,13.67568984,0.430255471,1.701431585
2.854522754,13.71724702,0.432322457,1.706203534
2.917005897,13.86020772,0.439426212,1.72251681
3.06388917,14.19627448,0.456082267,1.760210757
3.222808657,14.56075216,0.474072538,1.8
3.304255789,14.74866198,0.483303748,1.819880425
3.469264738,15.13159501,0.502054583,1.859641276
3.59320898,15.42273807,0.5162253,1.888848215
3.64116036,15.53642505,0.521736623,1.9
3.698376187,15.67359395,0.528358296,1.913141656
3.813827023,15.95278665,0.54179589,1.939424968
3.931351023,16.24151224,0.555631855,1.96570828
4.051008948,16.53735014,0.569835299,1.991991591
4.087898325,16.62822944,0.574222358,2
4.088543131,16.62981338,0.574298996,2.000139587
4.089832864,16.63298118,0.57445228,2.00041876
4.096285218,16.64881773,0.57521896,2.001814626
4.128100151,16.72659315,0.578993341,2.008677988
4.188599802,16.87289607,0.586131249,2.021642396
4.265332974,17.05524541,0.59508191,2.037926189
4.342887149,17.23590861,0.603987741,2.054209982
4.421254642,17.41486006,0.612832401,2.070493776
4.530281384,17.65794046,0.624875748,2.092875579
4.565302405,17.73460124,0.628680434,2.1
4.593600906,17.79584144,0.631722347,2.10572463
4.65039194,17.91786016,0.637787067,2.117173889
4.754331514,18.13670245,0.648682906,2.137930345
4.890002149,18.41395262,0.662520269,2.164655682
5.072549173,18.77274808,0.680482546,2.2
5.085275263,18.79713858,0.681705995,2.202437282
5.110760413,18.84583439,0.684149194,2.207311846
5.206131928,19.0254749,0.693172094,2.225443643
5.33993977,19.27083676,0.705521161,2.250600543
5.607592297,19.73967668,0.729198713,2.3
5.655954394,19.82100197,0.733317929,2.308783792
5.753072857,19.98259122,0.741509059,2.326351375
5.948939991,20.29835483,0.757552686,2.36136156
6.168619181,20.63730791,0.774830317,2.4
6.185215267,20.66224879,0.776104121,2.402891549
6.218447416,20.71202119,0.778646785,2.408674648
6.366273899,20.92940687,0.789766986,2.434234546
6.681967558,21.37285403,0.812526854,2.487966765
6.753569539,21.46967923,0.817510359,2.5
6.772606337,21.49515775,0.818822483,2.503188275
6.810724952,21.54599031,0.821441019,2.509564825
6.902995459,21.66752855,0.827707436,2.524938432
7.023017438,21.82250563,0.835709487,2.544808691
7.298025679,22.16497489,0.853438749,2.589822847
7.360792898,22.24076375,0.857371129,2.6
7.382542419,22.26677675,0.858721771,2.603516372
7.426092141,22.31866193,0.861416499,2.610549117
7.619363166,22.54417931,0.873146649,2.641567022
7.988617654,22.9546541,0.894571866,2.7
8.069840845,23.04095736,0.899090588,2.712690596
8.232889766,23.21188261,0.908048712,2.738071789
8.565524053,23.54677131,0.925651182,2.789291545
8.635667233,23.61511192,0.929251929,2.8
8.728063542,23.70333615,0.933907115,2.814032907
8.913536548,23.87788287,0.943126789,2.842098721
9.300382311,24.2262271,0.961585239,2.9
9.331082155,24.25293816,0.963003893,2.904556951
9.392549227,24.3061717,0.965832143,2.913670852
9.535138199,24.42778671,0.972300625,2.934737078
9.716355635,24.57866994,0.980339926,2.961361438
9.981302606,24.79216793,0.991742631,3
10.01583958,24.81933409,0.993195773,3.005009526
10.08498884,24.87345557,0.996091839,3.015028578
10.23928725,24.9923046,1.002458965,3.037307364
10.43395641,25.13857544,1.010309469,3.065266537
10.67735353,25.31591785,1.019849253,3.1
10.71506684,25.34278983,1.021297185,3.105357261
10.79057312,25.39631092,1.024182156,3.116071782
11.12637581,25.62776053,1.036684005,3.163456855
11.38739676,25.80051324,1.046043827,3.2
11.42707276,25.8261849,1.047436706,3.205530573
11.5065033,25.8773084,1.050211647,3.216591719
11.68573854,25.99071232,1.056375072,3.241472054
11.91097064,26.1294813,1.063932314,3.272586119
12.11040083,26.24899704,1.070454862,3.3
12.15255525,26.2738076,1.071810341,3.305775939
12.23694334,26.32320701,1.074510315,3.317327817
12.42026487,26.42870028,1.08028376,3.342348997
12.65000499,26.55748115,1.087346052,3.373567115
12.84539389,26.66410636,1.093205633,3.4
12.88986668,26.68795525,1.094517587,3.405999038
12.97889138,26.73543187,1.097130469,3.417997113
13.1696958,26.83543939,1.102641927,3.443641494
13.40845422,26.95731393,1.109372628,3.475598597
13.59148396,27.04835781,1.114411115,3.5
13.63836049,27.07128548,1.115681698,3.506233746
