s,velocity,energy,time
0.014672347,0.626940323,0.00346994,0.248982486
0.016340953,0.672370331,0.003854034,0.2582289
0.01866886,0.733035756,0.004387955,0.270154938
0.021201543,0.795998598,0.004966525,0.282080976
0.023946551,0.861220561,0.005591115,0.294007015
0.025408222,0.894837487,0.005922733,0.3
0.025585152,0.898853196,0.005962826,0.300708621
0.025940595,0.906900132,0.006043351,0.302125863
0.02662659,0.922317026,0.006198656,0.304826017
0.028051244,0.95387531,0.006520754,0.31029321
0.031926644,1.036852701,0.007394076,0.324309629
0.03613083,1.122767282,0.008337167,0.338326049
0.041629068,1.229708889,0.00956433,0.355153984
0.047636655,1.340696907,0.010897881,0.371981919
0.054172269,1.455631093,0.012340756,0.388809854
0.058819023,1.534198247,0.01336204,0.4
0.058944128,1.536279809,0.013389485,0.400293162
0.059194678,1.540445226,0.013444444,0.400879486
0.060259611,1.558075765,0.013677925,0.40335406
0.062906285,1.601387619,0.014257387,0.409385481
0.071814872,1.742293446,0.016199645,0.428568479
0.081486823,1.887902874,0.018295244,0.447751476
0.094397352,2.072262255,0.021073042,0.471224187
0.108531405,2.263205654,0.024090906,0.494696897
0.111897728,2.307235559,0.024806407,0.5
0.112137954,2.310356385,0.024857416,0.500374321
0.112619056,2.316601232,0.024959559,0.501122964
0.114677898,2.343208194,0.025396391,0.504304136
0.119807476,2.408694532,0.026482778,0.512076384
0.13741119,2.625403878,0.030190309,0.537254028
0.156554288,2.848909179,0.034188705,0.562431673
0.182387658,3.133832007,0.039533953,0.593521144
0.188082077,3.194417605,0.040705113,0.6
0.188494454,3.19877415,0.040789821,0.600464102
0.189320333,3.207491382,0.040959442,0.601392306
0.192855384,3.244630973,0.041684887,0.605337112
0.201670833,3.336058196,0.043489797,0.614982186
0.228299123,3.602641375,0.048906255,0.642613255
0.256998035,3.875612833,0.054685513,0.670244325
0.29027383,4.176152998,0.061311862,0.7
0.2909382,4.181996103,0.061443381,0.700571912
0.292268797,4.193686519,0.061706729,0.701715735
0.295951998,4.225923861,0.06243508,0.70486541
0.301219103,4.271720524,0.06347508,0.709328195
0.309697278,4.344706927,0.065145274,0.71641267
0.326330455,4.485388544,0.0684085,0.729975249
0.367605345,4.821308263,0.076431647,0.761907009
0.420783866,5.230025205,0.086623316,0.8
0.421779785,5.237446599,0.086812718,0.800684553
0.423774446,5.252294342,0.087191954,0.802053658
0.43233307,5.31564092,0.088816751,0.807884702
0.453776532,5.471855224,0.092870638,0.822196913
0.517734188,5.918212185,0.104820498,0.862626448
0.581346257,6.336627732,0.116508197,0.9
0.581776039,6.339376264,0.116586523,0.900244064
0.582635976,6.344873681,0.116743224,0.900732193
0.586946844,6.372371223,0.117528243,0.903172835
0.598776279,6.447309297,0.119677883,0.909816677
0.625143476,6.611673866,0.124445366,0.924354089
0.686416963,6.980033434,0.135393994,0.956812786
0.737641203,7.274271015,0.144405809,0.982686692
0.773097764,7.470873902,0.150563768,1
0.77400706,7.475838959,0.150720774,1.000437873
0.775826859,7.485768036,0.151034901,1.001313618
0.784962064,7.535379542,0.152608886,1.005692343
0.803823804,7.636584611,0.155842961,1.014643361
0.843194012,7.84236423,0.162519038,1.032956329
0.88360479,8.045698832,0.169256261,1.051269298
0.925041044,8.245544727,0.176025177,1.069582266
0.967482698,8.440985843,0.182793829,1.087895235
0.996077633,8.567483893,0.187254323,1.1
1.008445865,8.620587365,0.189150382,1.105165035
1.033333605,8.726025334,0.19293478,1.115495105
1.066883047,8.86392464,0.197942043,1.129227719
1.122561158,9.083455771,0.206037869,1.15156426
1.179586374,9.298152887,0.214095718,1.173900801
1.247888733,9.544455165,0.22350678,1.2
1.249325371,9.549520751,0.223702272,1.200541587
1.25220017,9.559648869,0.224093292,1.201624761
1.266619812,9.610200461,0.226049618,1.207040632
1.321785147,9.799997472,0.233464857,1.227503608
1.398159394,10.05426702,0.243576946,1.255200155
1.476480297,10.30605084,0.253796837,1.282896702
1.5258103,10.46047171,0.260168604,1.3
1.529302685,10.47128432,0.260617872,1.301200673
1.536294663,10.4929026,0.261516902,1.303602018
1.55524116,10.55119227,0.263948777,1.310084348
1.580803977,10.62917982,0.267220308,1.318774105
1.63704172,10.79820794,0.274381264,1.33767103
1.751455797,11.13211611,0.288811555,1.375234604
1.828789122,11.35086566,0.298471202,1.4
1.834699693,11.36735506,0.299206455,1.401871857
1.846537978,11.40032276,0.300678328,1.40561557
1.901736462,11.55252103,0.307521569,1.422930595
2.01090861,11.84656118,0.320967198,1.456523343
2.156262352,12.22490658,0.338704937,1.5
2.163624971,12.24368113,0.339598613,1.502164825
2.178372782,12.2812194,0.341387877,1.506494475
2.242041732,12.44174125,0.349093935,1.525036609
2.40106615,12.83240215,0.368219058,1.570338869
2.447586974,12.94407761,0.373783178,1.583333333
2.447586974,12.94407761,0.373783178,1.583333333
2.466416288,12.98889527,0.376010676,1.588552063
2.507877163,13.08726948,0.380869827,1.6
2.512210464,13.09751529,0.38137219,1.601191057
2.520883848,13.11801293,0.382376263,1.60357317
2.539633569,13.1622607,0.384537874,1.608710027
2.571695023,13.23775525,0.388210756,1.617454054
2.625145656,13.36326416,0.394286176,1.631921341
