x_meter_interp,y_meter_interp,cumulative_distance
0.0,0.0,0.0
-0.48472445790684227,0.8743732413022589,0.9997431496131896
-0.9694489158136845,1.7487464826045178,1.999486299226379
-1.4541733737205267,2.623119723906777,2.9992294488395688
-1.938897831627369,3.4974929652090356,3.998972598452758
-2.423622289534211,4.371866206511295,4.998715748065948
-2.9083467474410534,5.246239447813554,5.9984588976791375
-3.3930712053478955,6.120612689115813,6.9982020472923265
-3.877795663254738,6.994985930418071,7.997945196905516
-4.36252012116158,7.86935917172033,8.997688346518705
-4.847244579068422,8.74373241302259,9.997431496131895
-5.331969036975265,9.618105654324848,10.997174645745085
-5.816693494882107,10.492478895627109,11.996917795358275
-6.30141795278895,11.366852136929367,12.996660944971465
-6.786142410695791,12.241225378231626,13.996404094584653
-7.270866868602633,13.115598619533884,14.996147244197843
-7.755591326509476,13.989971860836143,15.995890393811033
-8.240315784416318,14.864345102138403,16.995633543424223
-8.72504024232316,15.73871834344066,17.99537669303741
-9.209764700230004,16.61309158474292,18.995119842650602
-9.694489158136845,17.48746482604518,19.99486299226379
-10.179213616043688,18.36183806734744,20.994606141876982
-10.66393807395053,19.236211308649697,21.99434929149017
-11.14866253185737,20.110584549951955,22.99409244110336
-11.633386989764213,20.984957791254217,23.99383559071655
-12.118111447671057,21.859331032556472,24.99357874032974
-12.6028359055779,22.733704273858734,25.99332188994293
-13.08756036348474,23.608077515160993,26.993065039556118
-13.572284821391582,24.48245075646325,27.992808189169306
-14.057009279298425,25.35682399776551,28.992551338782498
-14.541733737205266,26.231197239067768,29.992294488395686
-15.02645819511211,27.10557048037003,30.992037638008878
-15.511182653018952,27.979943721672285,31.991780787622066
-15.995907110925796,28.854316962974547,32.99152393723526
-16.480631568832635,29.728690204276806,33.991267086848445
-16.965356026739478,30.603063445579064,34.991010236461634
-17.45008048464632,31.47743668688132,35.99075338607482
-17.934804942553164,32.351809928183584,36.99049653568802
-18.419529400460007,33.22618316948584,37.990239685301205
-18.904253858366847,34.1005564107881,38.98998283491439
-19.38897831627369,34.97492965209036,39.98972598452758
-19.87370277418053,35.84930289339262,40.98946913414077
-20.358427232087376,36.72367613469488,41.989212283753965
-20.84315168999422,37.598049375997135,42.98895543336715
-21.32787614790106,38.472422617299394,43.98869858298034
-21.8126006058079,39.34679585860165,44.98844173259353
-22.29732506371474,40.22116909990391,45.98818488220672
-22.782049521621587,41.095542341206176,46.98792803181991
-23.266773979528427,41.969915582508435,47.9876711814331
-23.75149843743527,42.844288823810686,48.98741433104629
-24.236222895342113,43.718662065112945,49.98715748065948
-24.720947353248953,44.5930353064152,50.986900630272665
-25.2056718111558,45.46740854771747,51.98664377988586
-25.69039626906264,46.34178178901973,52.98638692949905
-26.17512072696948,47.216155030321985,53.986130079112236
-26.65984518487632,48.090528271624244,54.985873228725424
-27.144569642783164,48.9649015129265,55.98561637833861
-27.62929410069001,49.83927475422876,56.98535952795181
-28.11401855859685,50.71364799553102,57.985102677564996
-28.598743016503693,51.58802123683328,58.984845827178184
-29.083467474410533,52.462394478135536,59.98458897679137
-29.568191932317376,53.336767719437795,60.98433212640456
-30.05291639022422,54.21114096074006,61.984075276017755
-30.537640848131062,55.08551420204232,62.98381842563094
-31.022365306037905,55.95988744334457,63.98356157524413
-31.507089763944744,56.83426068464683,64.98330472485732
-31.99181422185159,57.708633925949094,65.98304787447051
-32.47653867975843,58.583007167251345,66.9827910240837
-32.96126313766527,59.45738040855361,67.98253417369689
-33.44598759557212,60.33175364985588,68.98227732331009
-33.930712053478956,61.20612689115813,69.98202047292327
-34.4154365113858,62.08050013246039,70.98176362253646
-34.90016096929264,62.95487337376264,71.98150677214964
-35.384885427199485,63.8292466150649,72.98124992176284
-35.86960988510633,64.70361985636717,73.98099307137603
-36.354334343013164,65.57799309766942,74.98073622098921
-36.839058800920014,66.45236633897169,75.98047937060241
-37.32378325882685,67.32673958027394,76.98022252021559
-37.80850771673369,68.2011128215762,77.97996566982879
-38.29323217464054,69.07548606287847,78.97970881944198
-38.77795663254738,69.94985930418072,79.97945196905516
-39.26268109045422,70.82423254548299,80.97919511866836
-39.74740554836106,71.69860578678524,81.97893826828154
-40.23213000626791,72.57297902808749,82.97868141789473
-40.71685446417475,73.44735226938975,83.97842456750793
-41.20157892208159,74.321725510692,84.97816771712111
-41.68630337998844,75.19609875199427,85.9779108667343
-42.171027837895274,76.07047199329652,86.97765401634749
-42.65575229580212,76.94484523459879,87.97739716596068
-43.14047675370896,77.81921847590105,88.97714031557388
-43.6252012116158,78.6935917172033,89.97688346518706
-44.109925669522646,79.56796495850557,90.97662661480025
-44.59465012742948,80.44233819980782,91.97636976441343
-45.07937458533633,81.31671144111009,92.97611291402663
-45.564099043243175,82.19108468241235,93.97585606363982
-46.04882350115001,83.0654579237146,94.975599213253
-46.533547959056854,83.93983116501687,95.9753423628662
-47.0182724169637,84.81420440631912,96.97508551247938
-47.50299687487054,85.68857764762137,97.97482866209258
-47.98772133277738,86.56295088892364,98.97457181170577
-48.472445790684226,87.43732413022589,99.97431496131895
-48.95717024859107,88.31169737152815,100.97405811093215
-49.441894706497905,89.1860706128304,101.97380126054533
-49.92661916440475,90.06044385413267,102.97354441015852
-50.4113436223116,90.93481709543494,103.97328755977172
-50.896068080218434,91.80919033673719,104.9730307093849
-51.38079253812528,92.68356357803945,105.9727738589981
-51.86551699603212,93.5579368193417,106.97251700861128
-52.35024145393896,94.43231006064397,107.97226015822447
-52.834965911845806,95.30668330194624,108.97200330783767
-53.31969036975264,96.18105654324849,109.97174645745085
