latitude,longitude,x_local,y_local
25.48853142,51.45003113,0.0,0.0
25.49010769,51.44907601,-96.58694032812491,174.22895565629005
25.49051328,51.44882543,-121.92357676196843,219.05828469851986
25.49091918,51.44857902,-146.8410472277319,263.9234026703052
25.49107535,51.44848957,-155.88966035738122,281.1870799739845
25.4915539,51.44819904,-185.2683390659513,334.0824537873268
25.49194346,51.44796284,-209.1531325840624,377.1416822350584
25.49220907,51.44779507,-226.1139892883366,406.49809875991195
25.49241685,51.44766818,-238.9445633656578,429.46436850260943
25.49256495,51.44757926,-247.93667657964397,445.83463078923523
25.49265247,51.44754225,-251.6889732972486,455.5139237358235
25.49274246,51.44752342,-253.61499439598992,465.47288340097293
25.49283524,51.44751661,-254.33397633524146,475.7448639366776
25.49292338,51.44752468,-253.5557105516782,485.5080473953858
25.49301665,51.44754919,-251.12704939197283,495.84487252216786
25.49308865,51.4475875,-247.3035009886371,503.8309620209038
25.4931629,51.44764017,-242.03754123148974,512.0710666966625
25.49322537,51.44770715,-235.3289730104152,519.0115156569518
25.49327093,51.44777646,-228.37993610894773,524.0801743175834
25.49331497,51.44786652,-219.34485906281043,528.9875310696661
25.49336336,51.44799765,-206.18367015186232,534.3904958604835
25.49337613,51.44812199,-193.6916415935848,535.8466846025549
25.49336314,51.44824074,-181.75183276925236,534.448379217647
25.49334034,51.44833341,-172.42953270417638,531.9549152380787
25.49330091,51.44843637,-162.0668286459986,527.6233666152693
25.49325996,51.44851643,-154.00511667516548,523.115749089513
25.49307708,51.44884528,-120.88573992298916,502.97536134766415
25.49298102,51.44901804,-103.48657646996435,492.3964133425616
25.49286094,51.44914157,-91.02629091695417,479.1408630795777
25.49272641,51.44925602,-79.47317049687263,464.2820785618387
25.49263693,51.44934584,-70.41231767635327,454.4037002180703
25.49253743,51.44944852,-60.05520236317534,443.42009568726644
25.49243762,51.44958193,-46.609412107034586,432.41260058339685
25.49236661,51.44970164,-34.55130342906341,424.5897251898423
25.49198018,51.45040375,36.15962403209414,382.0357581139542
25.49167488,51.45095374,91.5515266917646,348.414544897154
25.49161852,51.45106204,102.45751746871974,342.2102203774266
25.49156995,51.45114911,111.22684195952024,336.86132340459153
25.49153198,51.45123916,120.29170426039491,332.68727141292766
25.49150532,51.45132574,129.00356847734656,329.7644913084805
25.49149255,51.45143039,139.52637455635704,328.38602780457586
25.49148677,51.45155367,151.91899491881486,327.7879830561578
25.49147767,51.45167978,164.59729759709444,326.823264230974
25.4914464,51.45181919,178.62067219405435,323.40802980493754
25.491392,51.45190544,187.30981628445443,317.41329918894917
25.49131936,51.4519599,192.81071760645136,309.38786310330033
25.49122677,51.45200957,197.83769901830237,299.1515690465458
25.49108557,51.4520909,206.06501550774556,283.54310220107436
25.49098383,51.45217712,214.7689883284038,272.30603609466925
25.49091095,51.45224567,221.68615896825213,264.258844696451
25.49085629,51.4523102,228.1924442818854,258.22793269576505
25.49067624,51.45252763,250.11347695847508,238.3637982076034
25.49059405,51.45263019,260.452445243136,229.29727417230606
25.49054195,51.45271626,269.12272973160725,223.55723208747804
25.49047724,51.45282125,279.6993715328863,216.42725562583655
25.4903871,51.45299183,296.87789194926154,206.50364613672718
25.49029063,51.45317614,315.43879315967206,195.8837834005244
25.4901688,51.45343156,341.1563886787044,182.479967398569
25.49008435,51.4536266,360.7912720105378,173.19491218449548
25.49000696,51.45385542,383.8186721721431,164.70327036036178
25.48994134,51.45410505,408.9332256139023,157.52218950446695
25.48990331,51.45434728,433.29362137429416,153.39388215821236
25.48986875,51.45464814,463.5455015959451,149.67000256711617
25.48984729,51.45499016,497.9293504508678,147.41099802264944
25.4898265,51.45526854,525.9166306721745,145.2044017193839
25.48981445,51.45550746,549.9345639675157,143.95214511314407
25.48978017,51.45587079,586.4651331497589,140.28103287005797
25.48977122,51.45626297,625.8857687955024,139.42495430540293
25.48984526,51.45706021,705.9866525416728,147.89885535184294
25.48991801,51.45770685,770.9514406431699,156.1783383623697
25.4899805,51.45829402,829.9428619442042,163.30138744879514
25.48999487,51.45846046,846.6659142271383,164.9502910040319
25.49000611,51.45861435,862.1287831022637,166.2482598493807
25.48999227,51.45872036,872.7889025694458,164.7523512225598
25.4899719,51.45886784,887.6195791024948,162.54769605770707
25.48994589,51.45896033,896.925483778934,159.69943950232118
25.48987778,51.45911932,912.9312479409855,152.21215986832976
25.48978027,51.45925253,926.3571638332214,141.4602584997192
25.48964992,51.45937815,939.0327926694881,127.06909654522315
25.48951689,51.45946817,948.1313782153884,112.36881922371686
25.48917779,51.45966813,968.3586634851526,74.88687945064157
25.48901948,51.4597649,978.145416717045,57.389503894373775
25.48888663,51.45985233,986.9837047434412,42.70828680228442
25.4887696,51.45991675,993.5032500438392,29.77096409443766
25.4886551,51.45996689,998.5865712665254,17.108853552956134
25.48855591,51.45998638,1000.5834406721406,6.131502778735012
25.48844726,51.45998488,1000.4742450362537,-5.900719463825226
25.48836765,51.45996825,998.8332339663757,-14.722359058447182
25.48827858,51.45993064,995.0871541923843,-24.59886579308659
25.4881959,51.45988484,990.5154527031118,-33.77059777826071
25.48812331,51.45983438,985.4715118239401,-41.82659764401615
25.48740331,51.45932745,934.7953227374237,-121.73393513821065
25.48723308,51.45921449,923.5067248959094,-140.62405108148232
25.48709849,51.45911657,913.7161610202165,-155.56223710160702
25.48701051,51.45902514,904.560093396809,-165.33666227664798
25.48696062,51.45895112,897.1393598609138,-170.88703394588083
25.48692576,51.45887716,889.7189147340832,-174.77298652241006
25.48690237,51.45880229,882.2026241113199,-177.38908375194296
