s,velocity,energy
0.686416963,6.980033434,0.135393994
0.737641203,7.274271015,0.144405809
0.773097764,7.470873902,0.150563768
0.77400706,7.475838959,0.150720774
0.775826859,7.485768036,0.151034901
0.784962064,7.535379542,0.152608886
0.803823804,7.636584611,0.155842961
0.843194012,7.84236423,0.162519038
0.88360479,8.045698832,0.169256261
0.925041044,8.245544727,0.176025177
0.967482698,8.440985843,0.182793829
0.996077633,8.567483893,0.187254323
1.008445865,8.620587365,0.189150382
1.033333605,8.726025334,0.19293478
1.066883047,8.86392464,0.197942043
1.122561158,9.083455771,0.206037869
1.179586374,9.298152887,0.214095718
1.247888733,9.544455165,0.22350678
1.249325371,9.549520751,0.223702272
1.25220017,9.559648869,0.224093292
1.266619812,9.610200461,0.226049618
1.321785147,9.799997472,0.233464857
1.398159394,10.05426702,0.243576946
1.476480297,10.30605084,0.253796837
1.5258103,10.46047171,0.260168604
1.529302685,10.47128432,0.260617872
1.536294663,10.4929026,0.261516902
1.55524116,10.55119227,0.263948777
1.580803977,10.62917982,0.267220308
1.63704172,10.79820794,0.274381264
1.751455797,11.13211611,0.288811555
1.828789122,11.35086566,0.298471202
1.834699693,11.36735506,0.299206455
1.846537978,11.40032276,0.300678328
1.901736462,11.55252103,0.307521569
2.01090861,11.84656118,0.320967198
2.156262352,12.22490658,0.338704937
2.163624971,12.24368113,0.339598613
2.178372782,12.2812194,0.341387877
2.242041732,12.44174125,0.349093935
2.40106615,12.83240215,0.368219058
2.447586974,12.94407761,0.373783178
2.447586974,12.94407761,0.373783178
2.466416288,12.98889527,0.376010676
2.507877163,13.08726948,0.380869827
2.512210464,13.09751529,0.38137219
2.520883848,13.11801293,0.382376263
2.539633569,13.1622607,0.384537874
2.571695023,13.23775525,0.388210756
2.625145656,13.36326416,0.394286176
2.67910244,13.48965314,0.400377409
2.753980872,13.66476635,0.408788867
2.829830937,13.8420126,0.417278716
2.883531553,13.96751301,0.423277964
2.885210299,13.97143724,0.423465397
2.888568735,13.97928806,0.423840358
2.905389257,14.01861408,0.42571805
2.968757222,14.16688415,0.432789228
3.116204908,14.51312213,0.449248216
