s,x,y,kappa
0.0,0.2425024409311547,0.134435569009832,-2.8876137171042333e-05
0.999860809153088,-0.24870962999290314,1.0053157799296562,-2.861977949967878e-05
1.999721618306176,-0.7399377055133547,1.876186962209421,-2.836342181227562e-05
2.9995824274592637,-1.2311781714762424,2.747051154728663,-2.8107064108832846e-05
3.999443236612352,-1.7224274137276074,3.617910396366918,-2.7850706389350462e-05
4.99930404576544,-2.2136818181134945,4.488766726003726,-2.7594348653828536e-05
5.9991648549185275,-2.704937770479942,5.359622182518619,-2.7337990895380454e-05
6.999025664071616,-3.1961916566729953,6.230478804791138,-2.7081633123502274e-05
7.998886473224704,-3.687439862538695,7.101338631700816,-2.682527534055951e-05
8.998747282377792,-4.178678773923085,7.972203702127195,-2.656891754883761e-05
9.99860809153088,-4.6699045320256785,8.843076192783471,-2.6312559750542702e-05
10.998468900683967,-5.161111409612526,9.713959333056843,-2.6056201947802372e-05
11.998329709837055,-5.652292817803028,10.584856837785578,-2.5799844142666413e-05
12.998190518990143,-6.143442163105593,11.455772424405765,-2.554348633710758e-05
13.998051328143232,-6.634552858968951,12.326709806436517,-2.5287128533022344e-05
14.99791213729632,-7.125620122065657,13.197671679693295,-2.5030770732231654e-05
15.997772946449407,-7.616643368966455,14.068658369652558,-2.4774412936481704e-05
16.997633755602497,-8.107622612944658,14.93966986502373,-2.4518055147444687e-05
17.997494564755584,-8.598557867273561,15.810706154516222,-2.426169736671954e-05
18.997355373908672,-9.089449418076681,16.681767073197754,-2.400533959583271e-05
19.99721618306176,-9.580301982507597,17.55284996102724,-2.374898183623397e-05
20.997076992214847,-10.07112387618568,18.423950131670914,-2.3477062364819207e-05
21.996937801367935,-10.561923518803399,19.295062840191566,-2.3216050941136234e-05
22.996798610521022,-11.052709330053226,20.16618334165198,-2.297795552031059e-05
23.99665941967411,-11.543488866099185,21.037307377858898,-2.2763646500376605e-05
24.996520228827197,-12.034265954912435,21.90843279208469,-2.256627212240592e-05
25.996381037980285,-12.525043418545215,22.77955799460676,-2.23746158558669e-05
26.996241847133376,-13.0158240790344,23.65068139571115,-2.217632695157543e-05
27.996102656286464,-13.506610692809243,24.521801442646822,-2.196071160561634e-05
28.99596346543955,-13.997402937949365,25.392918316984503,-2.1720891861894214e-05
29.99582427459264,-14.488196158274501,26.264034642188207,-2.145530108496259e-05
30.995685083745727,-14.97898537156009,27.13515322541317,-2.1168532342742734e-05
31.995545892898814,-15.469765595581553,28.006276873814596,-2.09109342275188e-05
32.9954067020519,-15.960531801098966,28.877408420871408,-2.0709673564641116e-05
33.99526751120499,-16.451278568750293,29.74855091849027,-2.0591262350136112e-05
34.99512832035808,-16.94200028611462,30.61970752667066,-2.058050306141068e-05
35.99498912951117,-17.432691339394545,31.490881406182776,-2.069944208622402e-05
36.99484993866425,-17.923346120745666,32.36207571444353,-2.0966349275419997e-05
37.994710747817344,-18.41396129188599,33.23329233044777,-2.139490424913973e-05
38.99457155697043,-18.904539195498938,34.104529933158695,-2.199367215128981e-05
39.99443236612352,-19.395083048715154,34.97578670897203,-2.276590488064998e-05
40.9942931752766,-19.885596068665265,35.84706084428348,-2.370940296010164e-05
41.994153984429694,-20.37608152968926,36.71835049336174,-2.4817023494107006e-05
42.994014793582785,-20.866543738819257,37.58965323054681,-2.6077837659157158e-05
43.99387560273587,-21.356987899370495,38.46096612685322,-2.7478733973270735e-05
44.99373641188896,-21.847419244414006,39.33228623658556,-2.900637106542089e-05
45.993597221042045,-22.337843007020812,40.203610614048415,-3.064921625443453e-05
46.993458030195136,-22.82826350204432,41.07493683043234,-3.239893113287196e-05
47.99331883934822,-23.318680765780606,41.94626486542705,-3.4251222543183054e-05
48.99317964850131,-23.809093589296985,42.817595399690404,-3.620602111465134e-05
49.993040457654395,-24.299500763519937,43.688929113959524,-3.826706372104193e-05
50.992901266807486,-24.7899010308987,44.56026671624378,-4.0440811262435524e-05
51.99276207596057,-25.280290439169463,45.4316104305393,-4.273520873946404e-05
52.99262288511366,-25.770660977834098,46.30296476391624,-4.515854572393814e-05
53.99248369426675,-26.261004300798707,47.17433441224365,-4.771845972933993e-05
54.99234450341984,-26.751312061969404,48.04572407139057,-5.042132902772625e-05
55.99220531257293,-27.241576191524207,48.91713828139289,-5.327169559190425e-05
56.99206612172601,-27.731791113967013,49.78858017534472,-5.627127039245169e-05
57.9919269308791,-28.221952577171308,50.66005213988434,-5.9417886283078195e-05
58.99178774003219,-28.712056341168374,51.53155655479229,-6.270436768540215e-05
59.99164854918528,-29.20209816705707,52.40309579924726,-6.611773088374589e-05
60.99150935833836,-29.692074458488428,53.27467189016825,-6.96393756453679e-05
61.99137016749145,-30.18198334866738,54.146285869382055,-7.324591197025136e-05
62.99123097664454,-30.671823258844658,55.017938616320194,-7.69106137555526e-05
63.99109178579763,-31.161592610271,55.88963101041425,-8.060532141552284e-05
64.99095259495071,-31.651289848464987,56.76136391746577,-8.4302478574298e-05
65.9908134041038,-32.140913907927654,57.633137928640046,-8.797689408505049e-05
66.9906742132569,-32.63046417654366,58.50495338046008,-9.160711170665736e-05
67.99053502240999,-33.11994005933298,59.37681059982486,-9.51763008388051e-05
68.99039583156306,-33.60934096131561,60.248709913633334,-9.867255834983206e-05
69.99025664071615,-34.09866530407758,61.12065219959237,-0.00010208863918480677
70.99011744986925,-34.58790656332622,61.992641105527674,-0.00010542174283390641
71.98997825902234,-35.07705666334856,62.86468114819417,-0.00010867311247682947
72.98983906817541,-35.56610752788278,63.73677684465419,-0.00011184773257928962
73.9896998773285,-36.05505111322902,64.60893269365032,-0.00011495383468372805
74.9895606864816,-36.543881548800115,65.48115197130531,-0.00011800177920898971
75.98942149563469,-37.032596464936724,66.35343598407717,-0.00012100261019639288
76.98928230478778,-37.52119380918438,67.22578585996047,-0.00012396649524532596
77.98914311394086,-38.009671529088656,68.09820272694982,-0.000126901216067201
78.98900392309395,-38.49802762915115,68.97068768090747,-0.00012981121271565314
79.98886473224704,-38.98626067416752,69.84324150160018,-0.00013269694817211116
80.98872554140013,-39.47436954728892,70.71586478919116,-0.00013555477403171887
81.9885863505532,-39.962353135332805,71.58855814177534,-0.0001383773401650199
82.9884471597063,-40.45021032604031,72.4613221569324,-0.00014115462410423503
83.98830796885939,-40.937940978890715,73.33415689020582,-0.00014387520305623788
84.98816877801248,-41.42554776671163,74.2070608278518,-0.00014652730995734804
85.98802958716557,-41.9130338685287,75.08003217376891,-0.00014909974514219448
86.98789039631865,-42.40040246336753,75.95306913185578,-0.0001515824526871977
87.98775120547174,-42.88765651835037,76.82617002418898,-0.0001539668357406774
88.98761201462483,-43.37479421496041,77.69933584178361,-0.00015624625738612676
89.98747282377792,-43.861808997500944,78.57257021756762,-0.0001584165814856295
90.987333632931,-44.34869410806419,79.44587689724165,-0.00016047674092637464
91.98719444208409,-44.8354427887423,80.31925962650635,-0.00016242931510701368
92.98705525123718,-45.322048491181896,81.19272203187288,-0.000164280382861096
93.98691606039027,-45.80850580420916,82.0662670930519,-0.00016603880748789399
94.98677686954335,-46.294809700575875,82.93989757138665,-0.00016771501142441038
95.98663767869644,-46.78095515333173,83.81361622805088,-0.00016931922664956513
96.98649848784953,-47.26693714908173,84.68742581662475,-0.00017085959127501212
97.98635929700262,-47.752751776487216,85.56132847333248,-0.00017234080600905783
98.98622010615571,-48.238397023075294,86.43532527068125,-0.00017376348454051612
99.98608091530879,-48.723871064232554,87.30941717594187,-0.0001751242637622684
100.98594172446188,-49.20917207534573,88.18360515638535,-0.00017641674945100168
101.98580253361497,-49.694298601811006,89.05788997435563,-0.00017763287236224277
102.98566334276806,-50.1792531599493,89.93227019293046,-0.000178763775879318
103.98552415192114,-50.66404067932075,90.80674303863353,-0.00017980038947515198
104.98538496107423,-51.1486661235259,91.68130571913568,-0.00018073353177610354
105.98524577022732,-51.6331344557186,92.55595544235605,-0.00018155357435742416
106.98510657938041,-52.117449681177355,93.43068994906618,-0.0001822505111848557
107.9849673885335,-52.60161282215869,94.30550863944977,-0.00018281466269266388
108.98482819768658,-53.085624321889505,95.18041123579651,-0.0001832377696319461
109.98468900683967,-53.56948462359666,96.05539746039601,-0.00018351469887674263
110.98454981599276,-54.05319411841886,96.93046706426543,-0.00018364484848506932
111.98441062514586,-54.53675187274827,97.80562052903981,-0.00018363250917116406
112.98427143429893,-55.0201555537565,98.68085910804602,-0.00018348631861928423
113.98413224345202,-55.5034027616182,99.55618409156074,-0.00018321784648764485
114.98399305260511,-55.98649109650795,100.43159676986063,-0.00018283942322016127
115.9838538617582,-56.4694179892581,101.30709852508247,-0.00018236208841186733
116.98371467091128,-56.95217987893995,102.18269127734598,-0.0001817942780828968
117.98357548006437,-57.43477284467387,103.05837714202714,-0.00018114118397176212
118.98343628921747,-57.917192965073696,103.93415823477658,-0.00018040486508165177
119.98329709837056,-58.39943634736847,104.81003665550072,-0.00017958511718595935
120.98315790752365,-58.88150198638526,105.686012915322,-0.00017868024039968504
121.98301871667672,-59.36339419978618,106.56208459668836,-0.00017768743280604043
122.98287952582982,-59.84511787877033,107.4382489664824,-0.00017660291746446506
123.9827403349829,-60.326677914536766,108.31450329158662,-0.00017542148087430542
124.982601144136,-60.80807902864071,109.19084493267219,-0.000174136413963865
125.98246195328908,-61.28932395193915,110.06727235097901,-0.00017274036380888826
126.98232276244217,-61.77041412208603,110.94378472270178,-0.00017122672553732186
127.98218357159526,-62.25135095477928,111.82038123617367,-0.00016959146830274258
128.98204438074833,-62.73213586579939,112.69706107968288,-0.0001678350053606526
129.98190518990143,-63.21277074605024,113.5738231826865,-0.000165963311160315
130.98176599905452,-63.693259079284005,114.45066560691141,-0.00016398829539431838
131.9816268082076,-64.1736046826716,115.32758623244963,-0.00016192736638419552
132.9814876173607,-64.65381137338389,116.20458293939295,-0.00015980219998672958
133.9813484265138,-65.13388286753778,117.08165366314427,-0.00015763687352717855
134.98120923566688,-65.61381996667545,117.95879793437706,-0.0001554563319128423
135.98107004481997,-66.09362018635487,118.83601708232352,-0.0001532852349230085
136.98093085397304,-66.57328086646297,119.71331253236792,-0.00015114727958988317
137.98079166312613,-67.05279934688674,120.59068570989466,-0.00014906514761436513
138.98065247227922,-67.53217396593668,121.46813749532936,-0.00014706023444645727
139.9805132814323,-68.01140938152261,122.34566531973967,-0.00014515172781195295
140.9803740905854,-68.49051271680749,123.22326526861085,-0.00014335544223731034
141.9802348997385,-68.96949110057074,124.10093342436258,-0.00014168227796764927
142.98009570889158,-69.44835164911377,124.97866587625342,-0.00014013691257180197
143.97995651804467,-69.92709987407595,125.85645959300261,-0.00013871754770616689
