s,x,y,kappa
0.0,3.9844202597874325,2.2088346935480647,-5.909966750811137e-07
0.9998628904835497,3.4996322328591396,3.0833096038559877,-2.637590049071672e-07
1.9997257809670994,3.014841843957086,3.957783204720454,6.347866451858301e-08
2.999588671450649,2.530049313545152,4.832255618362468,3.907163331961369e-07
3.999451561934199,2.0452548620872117,5.706726967003036,7.179540011254944e-07
4.999314452417749,1.5604587100471474,6.581197372863164,1.045191668306659e-06
5.999177342901298,1.0756610778888347,7.455666958163858,1.3724293340951337e-06
6.999040233384848,0.5908621860761516,8.330135845126126,1.699666999377979e-06
7.998903123868398,0.10606225507297662,9.204604155970973,2.0269046643810793e-06
8.998766014351947,-0.3787384946568121,10.0790720129194,2.3541423293221323e-06
9.998628904835497,-0.8635398782979853,10.953539518429148,2.681379994409069e-06
10.998491795319048,-1.3483419830549772,11.828006624152781,3.0086176598384814e-06
11.998354685802596,-1.8331450214817382,12.702473212250274,3.3358553257940427e-06
12.998217576286146,-2.31794920680082,13.576939164510945,3.6630929924449326e-06
13.998080466769697,-2.802754752408238,14.451404362627922,3.99033065994426e-06
14.997943357253245,-3.287561916516421,15.32586866344538,4.317568328427487e-06
15.997806247736795,-3.772371061600803,16.200331865997708,4.644805998010855e-06
16.997669138220346,-4.257182564930985,17.07479376111651,4.972043668789799e-06
17.997532028703894,-4.741996803776567,17.94925413963339,5.299281340837385e-06
18.997394919187446,-5.226814167515013,18.823712785665922,5.626519014202724e-06
19.997257809670995,-5.71163524172715,19.698169374533453,5.953756688922118e-06
20.997120700154543,-6.196460771109897,20.572623493322617,6.289584592680296e-06
21.996983590638095,-6.681291504948373,21.447074726575845,6.62618802717671e-06
22.996846481121644,-7.166128192527685,22.32152265883555,6.954841044378005e-06
23.996709371605192,-7.650971589954896,23.195966870842465,7.266197009559201e-06
24.996572262088744,-8.135822482732582,24.070406926956093,7.550774680596768e-06
25.996435152572293,-8.620681664279191,24.944842387124616,7.799618356701522e-06
26.99629804305584,-9.10554992801329,25.81927281129616,8.005121614613457e-06
27.996160933539393,-9.590428061712814,26.69369776254591,8.16196283990824e-06
28.99602382402294,-10.075316589799261,27.568116949948593,8.26811823688283e-06
29.99588671450649,-10.560215666647355,28.44253028772547,8.325942026521878e-06
30.995749604990042,-11.045125418876301,29.316937705484907,8.343288448305896e-06
31.99561249547359,-11.530045973105308,30.19133913283527,8.312954124102255e-06
32.99547538595714,-12.014977450693769,31.065734502299332,8.234456286792666e-06
33.99533827644069,-12.499919929483923,31.940123770512287,8.107963108580196e-06
34.99520116692424,-12.984873465835538,32.81450690601254,7.934367114695972e-06
35.99506405740779,-13.469838115956653,33.68888387742258,7.715411471846585e-06
36.99492694789134,-13.954813935171552,34.563254653855175,7.453813778400678e-06
37.99478983837489,-14.439800647363843,35.43761938829412,7.153281726216958e-06
38.99465272885844,-14.924797149156975,36.31197869265652,6.818426365519723e-06
39.99451561934199,-15.40980221023759,37.18633324927935,6.4545915398384795e-06
40.99437850982554,-15.894814600292342,38.06068374049961,6.0676088240952946e-06
41.994241400309086,-16.37983310976997,38.93503083714105,5.66356714457377e-06
42.994104290792635,-16.864856902127663,39.80937500318267,5.248668625198688e-06
43.99396718127619,-17.34988546361813,40.683716523603444,4.829140175275482e-06
44.99383007175974,-17.834918291147723,41.55805567747451,4.411228524048767e-06
45.99369296224329,-18.319954881622813,42.43239274386704,4.001257871991074e-06
46.993555852726836,-18.804994604614752,43.30672807249443,3.6055879242460123e-06
47.993418743210384,-19.290036238538296,44.18106234102862,3.2304510443872907e-06
48.99328163369393,-19.775078390382376,45.05539632224425,2.8817213968826913e-06
49.99314452417749,-20.26011966711784,45.92973078892599,2.564610751093109e-06
50.99300741466104,-20.74515868785742,46.80406650712277,2.2833861266373244e-06
51.992870305144585,-21.23019474046783,47.67840387188928,2.041225724033331e-06
52.992733195628134,-21.715228116409556,48.552742721532255,1.8401955006825586e-06
53.99259608611168,-22.200259189731504,49.42708284854205,1.6813554421374214e-06
54.99245897659523,-22.685288334482586,50.30142404540911,1.5649947997667814e-06
55.992321867078786,-23.170315879730605,51.17576612957671,1.4908134525395874e-06
56.992184757562335,-23.65534175037913,52.05010914269473,1.4579587382015836e-06
57.99204764804588,-24.140365657738165,52.92445324490224,1.4649677191067641e-06
58.99191053852943,-24.62538731118184,53.798798597412215,1.5095699767552458e-06
59.99177342901298,-25.11040642077345,54.67314536105535,1.588422985939366e-06
60.99163631949653,-25.595423099082254,55.547493473384115,1.697042738534881e-06
61.991499209980084,-26.0804385373439,56.42184227359297,1.8299491558546628e-06
62.99136210046363,-26.56545410559282,57.296191001692996,1.980977217150572e-06
63.99122499094718,-27.05047117386349,58.1705388976953,2.1437695991556225e-06
64.99108788143073,-27.535491079228134,59.044885219895676,2.3122357677749355e-06
65.99095077191429,-28.02051449932776,59.91922959238596,2.4807919714642975e-06
66.99081366239783,-28.505541502949043,60.79357197699853,2.6444178322466686e-06
67.99067655288138,-28.990572136052002,61.66791234822799,2.79848976953408e-06
68.99053944336492,-29.47560644459662,62.542250680569,2.9384096160626527e-06
69.99040233384848,-29.960644594154758,63.41658688215215,3.059385328044493e-06
70.99026522433203,-30.445687348776858,64.29092052905548,3.1564976441174497e-06
71.99012811481558,-30.930735659308812,65.16525109371766,3.2249648870290814e-06
72.98999100529913,-31.415790476658543,66.03957804854299,3.260661114570681e-06
73.98985389578267,-31.900852741175697,66.91390087179336,3.260689086316562e-06
74.98971678626623,-32.385922697845544,67.78821942751212,3.2236444144071623e-06
