Timestamp,Voltage,Current,Power,Energy,State
0,53.97,0,0,0.01,0
0.75,53.37,2.27,121.09,0.02,1
1.5,52.22,6.27,327.54,0.19,1
2.234,43.57,45.04,1962.41,0.57,1
3,44.98,34.47,1550.51,1.84,1
3.75,47.57,22.23,1057.63,2.79,1
4.484,50.74,8.96,454.44,3.41,1
5.25,50.49,9.92,501.04,3.88,1
6,51.29,6.89,353.49,4.2,1
6.734,53.18,0,0,4.27,0
7.5,53.3,0,0,4.27,0
8.234,53.36,0,0,4.27,0
8.984,53.41,0,0,4.27,0
9.75,53.45,0,0,4.27,0
10.5,53.48,0,0,4.27,0
11.25,53.51,0,0,4.27,0
11.984,53.53,0,0,4.27,0
12.734,53.54,0,0,4.27,0
13.484,53.56,0,0,4.27,0
14.25,53.57,0,0,4.27,0
15,53.58,0,0,4.27,0
15.75,53.59,0,0,4.27,0
16.484,53.6,0,0,4.27,0
17.25,53.61,0,0,4.27,0
17.984,53.62,0,0,4.27,0
18.734,53.63,0,0,4.27,0
19.484,53.64,0,0,4.27,0
20.25,53.64,0,0,4.27,0
21,53.65,0,0,4.27,0
21.75,53.66,0,0,4.27,0
22.5,53.66,0,0,4.27,0
23.234,53.66,0,0,4.27,0
24,53.67,0,0,4.27,0
24.734,53.67,0,0,4.27,0
25.5,53.68,0,0,4.27,0
26.234,53.68,0,0,4.27,0
27,53.68,0,0,4.27,0
27.734,53.69,0,0,4.27,0
28.5,53.69,0,0,4.27,0
29.234,53.69,0,0,4.27,0
29.984,53.69,0,0,4.27,0
30.75,53.7,0,0,4.27,0
31.5,53.7,0,0,4.27,0
32.234,53.7,0,0,4.27,0
33,53.7,0,0,4.27,0
33.734,53.71,0,0,4.27,0
34.5,53.71,0,0,4.27,0
35.25,53.71,0,0,4.27,0
35.984,53.71,0,0,4.27,0
36.734,53.71,0,0,4.27,0
37.484,53.71,0,0,4.27,0
38.25,53.72,0,0,4.27,0
39,53.72,0,0,4.27,0
39.75,53.72,0,0,4.27,0
40.5,53.72,0,0,4.27,0
41.234,53.72,0,0,4.27,0
42,53.72,0,0,4.27,0
42.75,53.72,0,0,4.27,0
43.5,53.73,0,0,4.27,0
44.25,53.73,0,0,4.27,0
45,53.73,0,0,4.27,0
45.75,53.73,0,0,4.27,0
46.5,53.73,0,0,4.27,0
47.25,53.73,0,0,4.27,0
47.984,53.73,0,0,4.27,0
48.75,53.73,0,0,4.27,0
49.5,53.73,0,0,4.27,0
50.234,53.73,0,0,4.27,0
51,53.73,0,0,4.27,0
51.75,53.73,0,0,4.27,0
52.5,53.74,0,0,4.27,0
53.234,53.74,0,0,4.27,0
53.984,53.74,0,0,4.27,0
54.75,53.74,0,0,4.27,0
55.5,53.74,0,0,4.27,0
56.25,53.74,0,0,4.27,0
57,53.74,0,0,4.27,0
57.734,53.74,0,0,4.27,0
58.484,53.74,0,0,4.27,0
59.25,53.74,0,0,4.27,0
59.984,49.69,16.26,808.08,4.47,1
60.75,49.2,16.89,830.83,5.23,1
61.5,53.29,0,0,5.56,0
62.234,53.43,0,0,5.56,0
63,53.5,0,0,5.56,0
63.75,53.53,0,0,5.56,0
64.5,53.56,0,0,5.56,0
65.234,53.58,0,0,5.56,0
65.984,53.59,0,0,5.56,0
66.75,53.6,0,0,5.56,0
67.484,53.61,0,0,5.56,0
68.234,53.62,0,0,5.56,0
68.984,53.63,0,0,5.56,0
69.75,53.63,0,0,5.56,0
70.5,53.64,0,0,5.56,0
71.25,53.64,0,0,5.56,0
71.984,53.64,0,0,5.56,0
72.734,53.65,0,0,5.56,0
73.5,53.65,0,0,5.56,0
74.25,53.65,0,0,5.56,0
75,53.66,0,0,5.56,0
75.734,53.66,0,0,5.56,0
76.5,53.66,0,0,5.56,0
77.234,53.66,0,0,5.56,0
78,53.67,0,0,5.56,0
78.734,53.67,0,0,5.56,0
79.5,53.67,0,0,5.56,0
80.234,53.67,0,0,5.56,0
81,53.67,0,0,5.56,0
81.75,53.68,0,0,5.56,0
82.484,53.68,0,0,5.56,0
83.25,53.68,0,0,5.56,0
84,53.68,0,0,5.56,0
84.75,53.68,0,0,5.56,0
85.5,53.68,0,0,5.56,0
86.25,53.68,0,0,5.56,0
87,53.68,0,0,5.56,0
87.75,53.69,0,0,5.56,0
88.484,53.69,0,0,5.56,0
89.25,53.69,0,0,5.56,0
89.984,53.69,0,0,5.56,0
90.75,53.69,0,0,5.56,0
91.5,53.69,0,0,5.56,0
92.234,53.69,0,0,5.56,0
93,53.69,0,0,5.56,0
93.734,53.69,0,0,5.56,0
94.484,53.69,0,0,5.56,0
95.234,53.69,0,0,5.56,0
95.984,53.69,0,0,5.56,0
96.734,53.69,0,0,5.56,0
97.5,53.69,0,0,5.56,0
98.234,53.7,0,0,5.56,0
99,53.7,0,0,5.56,0
99.75,53.7,0,0,5.56,0
100.5,53.7,0,0,5.56,0
101.234,53.7,0,0,5.56,0
102,53.7,0,0,5.56,0
102.75,53.7,0,0,5.56,0
103.484,53.7,0,0,5.56,0
104.234,53.7,0,0,5.56,0
104.984,53.7,0,0,5.56,0
105.75,53.7,0,0,5.56,0
106.5,53.7,0,0,5.56,0
107.25,53.7,0,0,5.56,0
108,53.7,0,0,5.56,0
108.734,53.7,0,0,5.56,0
109.5,53.7,0,0,5.56,0
110.25,53.7,0,0,5.56,0
111,53.7,0,0,5.56,0
111.734,49.67,16.11,800.24,5.77,1
112.484,49.49,15.62,773.12,6.46,1
113.25,53.25,0,0,6.83,0
114,53.4,0,0,6.83,0
114.734,53.46,0,0,6.83,0
115.5,53.5,0,0,6.83,0
116.234,53.53,0,0,6.83,0
117,53.54,0,0,6.83,0
117.734,53.56,0,0,6.83,0
118.5,53.57,0,0,6.83,0
119.25,53.58,0,0,6.83,0
119.984,53.58,0,0,6.83,0
120.75,53.59,0,0,6.83,0
121.484,53.6,0,0,6.83,0
122.234,53.6,0,0,6.83,0
122.984,53.61,0,0,6.83,0
123.75,53.61,0,0,6.83,0
124.5,53.61,0,0,6.83,0
125.25,53.62,0,0,6.83,0
125.984,53.62,0,0,6.83,0
126.734,53.62,0,0,6.83,0
127.5,53.63,0,0,6.83,0
128.234,53.63,0,0,6.83,0
128.984,53.63,0,0,6.83,0
129.75,53.63,0,0,6.83,0
130.5,53.63,0,0,6.83,0
131.25,53.63,0,0,6.83,0
131.984,53.64,0,0,6.83,0
132.75,53.64,0,0,6.83,0
133.484,53.64,0,0,6.83,0
134.25,53.64,0,0,6.83,0
134.984,53.64,0,0,6.83,0
135.75,53.64,0,0,6.83,0
136.5,53.64,0,0,6.83,0
137.25,53.64,0,0,6.83,0
138,53.65,0,0,6.83,0
138.75,53.65,0,0,6.83,0
139.484,53.65,0,0,6.83,0
140.234,53.65,0,0,6.83,0
141,53.65,0,0,6.83,0
141.75,53.65,0,0,6.83,0
142.5,53.65,0,0,6.83,0
143.25,53.65,0,0,6.83,0
143.984,53.65,0,0,6.83,0
144.734,53.65,0,0,6.83,0
145.5,53.66,0,0,6.83,0
146.234,53.65,0,0,6.83,0
147,53.65,0,0,6.83,0
147.75,53.66,0,0,6.83,0
148.5,53.66,0,0,6.83,0
149.234,53.66,0,0,6.83,0
149.984,53.66,0,0,6.83,0
150.75,53.66,0,0,6.83,0
151.5,53.66,0,0,6.83,0
152.25,53.66,0,0,6.83,0
